authfull,inst_name,cntry,np6024,firstyr,lastyr,rank (ns),nc9624 (ns),h24 (ns),hm24 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6024 cited9624 (ns),self%,rank,nc9624,h24,hm24,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6024 cited9624,np6024_rw,nc9624_to_rw,nc9624_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,rank_percentile,field_type,sample_id,replicate
"Lather, Patti A.",The Ohio State University,usa,62,1986,2025,28781,4871,25,24.66666666666666,53,4206,56,4756,58,4780,3.87468781053455,4062,1.19916297390448,52,0.0217,34558,4979,25,24.66666666666666,53,4287,56,4848,58,4881,3.865801676194217,4110,1.211435523114355,52,0,0,0,Education,0.3387096774193548,Social Sciences Methods,0.08064516129032258,Social Sciences,0.9193548387096774,138,130,105560,0-20,book_heavy,1,5
"Lubienski, Christopher A.",Indiana University Bloomington,usa,105,2000,2025,83719,2779,29,20.83333333333333,18,839,45,1437,86,2162,3.53568323644549,2039,1.362923001471309,93,0.164,74074,3324,34,24.03333333333333,18,969,45,1714,86,2590,3.627972231213664,2185,1.521281464530893,98,0,0,0,Education,0.6952380952380952,Sociology,0.009523809523809525,Social Sciences,1.0,383,479,105560,20-40,book_heavy,2,5
"Huemer, Michael",University of Colorado Boulder,usa,62,1997,2024,141269,1191,19,18.5,59,1118,62,1191,62,1191,3.341596449993237,1074,1.108938547486034,53,0.0607,159167,1268,19,18.5,59,1195,62,1268,62,1268,3.347752481746915,1106,1.146473779385172,53,0,0,0,Philosophy,0.532258064516129,Economics,0.06451612903225806,Philosophy & Theology,0.7741935483870968,178,170,13700,40-60,book_heavy,3,5
"Gardner, John",University of Oxford,gbr,49,1987,2021,151496,1706,17,15.5,38,923,44,1003,47,1696,3.314208489720955,1537,1.109954456733897,46,0.0296,156986,1758,19,17.5,38,961,44,1046,47,1748,3.353218706191786,1557,1.129094412331407,46,0,0,0,Law,0.4081632653061225,Philosophy,0.1224489795918367,Social Sciences,0.8367346938775511,112,121,16575,60-80,book_heavy,4,5
"West, Martin L.",All Souls College,gbr,39,1992,2020,235346,1143,11,10.5,37,1100,37,1100,39,1143,3.131876214545928,974,1.173511293634497,33,0.006999999999999999,273544,1151,11,10.5,37,1108,37,1108,39,1151,3.122457939499248,981,1.17329255861366,33,0,0,0,Classics,0.4871794871794872,,0.5128205128205128,Historical Studies,0.5897435897435898,36,34,3581,60-80,book_heavy,5,5
"Esteban-Guitart, Moisés",Universitat de Girona,esp,76,2012,2025,270129,1255,17,10.91666666666667,13,230,39,836,70,1233,3.071879728319529,819,1.532356532356532,60,0.2426,239002,1657,19,11.78333333333333,13,323,39,1061,70,1624,3.180606564405226,892,1.85762331838565,68,0,0,0,Education,0.4736842105263158,Social Psychology,0.1052631578947368,Social Sciences,0.6447368421052632,1795,2184,105560,80-100,book_heavy,6,5
"Bagchi, Biman",Indian Institute of Science,ind,480,1981,2025,13552,13697,55,35.7845238095238,37,1232,78,2706,441,11392,4.079588637644598,8887,1.541240013502869,428,0.1885,11159,16879,62,40.8511904761905,37,1427,78,3186,441,14123,4.165569723884396,9520,1.773004201680672,443,0,0,2,Chemical Physics,0.6666666666666666,Fluids & Plasmas,0.07916666666666666,Physics & Astronomy,0.8333333333333334,280,310,115551,0-20,journal_heavy,7,5
"Sandler, Howard M.",Cedars-Sinai Medical Center,usa,463,1988,2025,42310,31966,84,25.45879841963333,16,35,37,900,176,10113,3.760886185757625,22969,1.391701859027385,418,0.1117,43654,35985,92,26.88516789833842,16,38,37,957,176,11072,3.797129050470678,24841,1.448613179823679,422,0,0,15,Oncology & Carcinogenesis,0.6436285097192225,Urology & Nephrology,0.1403887688984881,Clinical Medicine,0.9740820734341252,1821,1824,355674,0-20,journal_heavy,8,5
"Hudson, P. J.",Pennsylvania State University,usa,257,1980,2025,28156,16360,62,27.89467670410873,7,169,28,2886,155,8218,3.880872067383369,12258,1.33463860336107,247,0.1255,26901,18707,69,30.35026833470035,7,189,28,3141,155,9574,3.936164462751727,13144,1.423234936092514,250,0,0,0,Ecology,0.3813229571984436,Mycology & Parasitology,0.1712062256809339,Biology,0.5680933852140078,486,504,76579,0-20,journal_heavy,9,5
"Dancer, Stephanie J.",NHS Lanarkshire,gbr,184,1988,2025,26117,8184,42,20.87727712654257,48,2488,82,3599,113,4736,3.902504356548133,6541,1.251184834123223,166,0.1242,25024,9345,46,22.82727712654257,48,2766,82,4010,113,5355,3.956120523205769,6960,1.342672413793103,170,0,0,9,Epidemiology,0.2608695652173913,Microbiology,0.1956521739130435,Public Health & Health Services,0.483695652173913,75,78,9991,0-20,journal_heavy,10,5
