authfull,inst_name,cntry,np6024,firstyr,lastyr,rank (ns),nc9624 (ns),h24 (ns),hm24 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6024 cited9624 (ns),self%,rank,nc9624,h24,hm24,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6024 cited9624,np6024_rw,nc9624_to_rw,nc9624_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,rank_percentile,field_type,sample_id,replicate
"Geballe, Theodore H.",Geballe Laboratory for Advanced Materials,usa,426,1950,2021,57321,12819,59,26.45685425685425,29,90,63,925,214,5092,3.665053616505983,10859,1.180495441569205,354,0.0644,65494,13702,60,27.09971139971139,29,92,63,959,214,5347,3.669353069792315,11305,1.21203007518797,364,0,0,3,Applied Physics,0.5990888382687927,General Physics,0.2277904328018223,Physics & Astronomy,0.89749430523918,1675,1405,314640,20-40,journal_heavy,88,3
"Münz, Wolf Dieter",Arthur Klink GmbH,deu,136,1981,2022,46988,6253,45,18.84484126984126,9,950,31,1577,98,4663,3.728342552270218,4125,1.515878787878788,118,0.1536,46824,7388,49,19.99484126984126,9,978,31,1814,98,5397,3.775990042378163,4342,1.701520036849378,120,0,0,0,Applied Physics,0.7647058823529411,Materials,0.1102941176470588,Physics & Astronomy,0.7794117647058824,1195,1150,314640,20-40,journal_heavy,89,3
"Shedler, Jonathan",UCSF School of Medicine,usa,51,1986,2025,53002,5775,28,14.55833333333334,14,1294,27,3764,36,4849,3.690330221319932,4436,1.301848512173129,46,0.095,60686,6381,28,14.55833333333334,14,1307,27,3930,36,5246,3.694128099802903,4555,1.400878155872668,47,0,0,4,Psychiatry,0.392156862745098,Clinical Psychology,0.1372549019607843,Clinical Medicine,0.5882352941176471,1157,1057,85760,20-40,journal_heavy,90,3
"Doyle, Michael William",Columbia University,usa,72,1981,2024,65460,3747,19,17.16666666666666,43,1844,58,3431,67,3479,3.620960606186216,3397,1.103032087135708,47,0.0116,75765,3791,20,17.36666666666667,43,1855,58,3465,67,3513,3.620606266490705,3437,1.102996799534478,47,0,0,1,International Relations,0.1388888888888889,Political Science & Public Administration,0.1111111111111111,Social Sciences,0.7361111111111112,65,64,9096,20-40,journal_heavy,91,3
"Reddy, K. S.",Indian Institute of Technology Madras,ind,231,1998,2025,66980,7159,48,25.48730158730158,1,65,57,2296,150,4404,3.613291736822053,5723,1.250917351039665,197,0.1094,70882,8038,51,26.99682539682539,1,66,57,2509,150,4872,3.643179752372545,6062,1.32596502804355,207,0,0,4,Energy,0.6060606060606061,Mechanical Engineering & Transports,0.1688311688311688,Enabling & Strategic Technologies,0.6277056277056277,975,901,343394,20-40,journal_heavy,92,3
"Wasteneys, Geoffrey O.",The University of British Columbia,can,110,1988,2024,58652,5877,43,21.89463094376887,6,477,22,1237,80,4013,3.657360823429738,3873,1.517428350116189,107,0.1475,58929,6894,46,22.64463094376887,6,537,22,1417,80,4658,3.703577795553766,4217,1.634811477353569,108,1,40,24,Plant Biology & Botany,0.5818181818181818,Developmental Biology,0.2090909090909091,Biology,0.6545454545454545,768,763,189757,20-40,journal_heavy,93,3
"Woodruff, David S.","University of California, San Diego",usa,69,1973,2013,80635,3767,31,17.2,10,805,22,1123,60,3565,3.548477953826999,3152,1.19511421319797,66,0.05019999999999999,90898,3966,32,17.74090909090909,10,826,22,1158,60,3733,3.557169144304824,3256,1.218058968058968,66,1,67,0,Evolutionary Biology,0.4761904761904762,Behavioral Science & Comparative Psychology,0.126984126984127,Biology,0.6666666666666666,745,679,30257,20-40,journal_heavy,94,3
"Loriaux, Donald Lynn",Oregon Health & Science University,usa,504,1965,2022,55532,13388,58,27.70117243867242,77,226,92,426,237,4313,3.675531295883057,10255,1.305509507557289,389,0.0764,62546,14496,61,28.05355339105337,77,232,92,435,237,4589,3.68441349788076,10767,1.346336026748398,393,0,0,8,Endocrinology & Metabolism,0.5228628230616302,General & Internal Medicine,0.1232604373757455,Clinical Medicine,0.9860834990059643,1339,1206,96207,20-40,journal_heavy,95,3
"Lawson, Jeffrey H.",Duke University School of Medicine,usa,146,1990,2023,84499,7616,47,17.63400299477646,2,121,15,1227,75,3792,3.532502684679778,6249,1.218755000800128,137,0.1308,86827,8762,49,18.78400299477646,2,123,15,1496,75,4273,3.573128308011527,6853,1.278564132496717,137,0,0,6,Cardiovascular System & Hematology,0.2534246575342466,Urology & Nephrology,0.1438356164383562,Clinical Medicine,0.8356164383561644,2825,2794,235606,20-40,journal_heavy,96,3
"Rüegg, Markus A.",Universität Basel,che,183,1989,2025,79358,16437,64,21.19120778130001,3,53,8,481,68,4751,3.55423751329815,12839,1.280239894072747,174,0.1754,80022,19934,69,21.98639417492263,3,56,8,576,68,5420,3.601278779787355,15213,1.310326694274633,175,0,0,29,Neurology & Neurosurgery,0.3169398907103825,Developmental Biology,0.2950819672131147,Clinical Medicine,0.5300546448087432,5109,5152,360881,20-40,journal_heavy,97,3
"McGlone, John James",Texas Tech University,usa,176,1978,2025,53721,5193,42,23.52460872460871,16,515,59,1745,137,3739,3.686156025508481,3926,1.322720326031584,159,0.1057,56356,5807,43,25.28175158175157,16,544,59,1932,137,4185,3.717866036625084,4106,1.414271797369703,162,0,0,1,Dairy & Animal Science,0.5454545454545454,Behavioral Science & Comparative Psychology,0.1704545454545454,"Agriculture, Fisheries & Forestry",0.6875,132,113,72794,20-40,journal_heavy,98,3
"Ullrich, Volker",Universität Konstanz,deu,285,1964,2022,64016,9169,49,26.74052752802751,12,115,50,758,212,6085,3.628368848936505,7269,1.26138395927913,245,0.1273,65804,10507,54,27.98616244866243,12,124,50,809,212,6849,3.667904482532405,7719,1.361186682212722,248,0,0,11,Biochemistry & Molecular Biology,0.3929824561403509,Pharmacology & Pharmacy,0.1894736842105263,Biomedical Research,0.4385964912280702,2490,2420,212967,20-40,journal_heavy,99,3
"Kilberg, Michael S.",University of Florida College of Medicine,usa,175,1975,2025,65409,8932,48,21.73227138358717,5,111,29,1485,130,5229,3.621217396346862,6475,1.379459459459459,162,0.1139,65772,10080,50,23.86679519311097,5,127,29,1611,130,6049,3.668055404563988,6766,1.489801950931126,165,0,0,5,Biochemistry & Molecular Biology,0.5371428571428571,Nutrition & Dietetics,0.06857142857142857,Biomedical Research,0.7885714285714286,2486,2469,212967,20-40,journal_heavy,100,3
"Kipling, David G.",University of Surrey,gbr,130,1987,2025,80641,6592,45,18.9869769119769,4,158,23,1339,69,3383,3.548451227217816,5747,1.147033234731164,128,0.1367,80419,7636,49,20.38142135642135,4,175,23,1469,69,3946,3.599661469661913,6179,1.235798672924421,130,0,0,3,Developmental Biology,0.1923076923076923,Immunology,0.1384615384615385,Biomedical Research,0.4384615384615385,2290,2381,157999,20-40,journal_heavy,101,3
"Kooner, Jaspal Singh",Ealing Hospital,gbr,325,1987,2025,63798,76484,111,13.25889774498697,3,15,21,827,70,5595,3.629524203155571,59476,1.28596408635416,298,0.1767,62765,92904,119,13.77855572526899,3,18,21,1004,70,6081,3.683272172246513,66936,1.387952671208318,299,0,0,46,Developmental Biology,0.2861538461538461,Cardiovascular System & Hematology,0.2461538461538462,Clinical Medicine,0.5230769230769231,1885,1996,157999,20-40,journal_heavy,102,3
"McKee, Suzanne P.",Smith Kettlewell Eye Research Institute,usa,111,1973,2023,59652,5229,40,24.61666666666666,6,233,34,2173,84,4408,3.652109758618168,3997,1.308231173380035,100,0.0849,66105,5714,41,25.7,6,236,34,2296,84,4729,3.666223581625057,4207,1.358212502971238,101,0,0,0,Experimental Psychology,0.6126126126126126,Ophthalmology & Optometry,0.1261261261261261,Psychology & Cognitive Sciences,0.6306306306306306,798,740,36527,20-40,journal_heavy,103,3
"Trumble, Thomas E.",Bellevue Bone and Joint Physicians,usa,152,1985,2017,62397,5715,43,21.80238095238095,6,150,63,2743,136,4851,3.637191240498447,4610,1.239696312364425,133,0.0364,71322,5931,44,21.80238095238094,6,162,63,2871,136,5033,3.641022628821233,4701,1.261646458200383,133,0,0,3,Orthopedics,0.743421052631579,Surgery,0.07894736842105263,Clinical Medicine,0.993421052631579,448,410,91178,20-40,journal_heavy,104,3
"Mas-Colell, Andreu",Universitat Pompeu Fabra Barcelona,esp,65,1972,2019,81050,3329,27,20.61666666666667,31,867,39,1165,59,3003,3.546648084156592,2784,1.195761494252874,59,0.0258,96200,3417,27,20.61666666666667,31,869,39,1180,59,3073,3.536865512986589,2829,1.207847295864263,59,0,0,0,Economic Theory,0.6,Economics,0.2615384615384616,Economics & Business,0.9384615384615385,23,20,1760,20-40,journal_heavy,105,3
"Risberg, Bo",Sahlgrenska Universitetssjukhuset,swe,272,1973,2012,71405,8286,50,20.27018716577539,18,285,57,581,200,3985,3.591056077478943,6724,1.232302201070791,201,0.07429999999999999,79574,8951,54,20.56185383244206,18,285,57,584,200,4298,3.60326068013273,7035,1.272352523098792,203,0,0,0,Cardiovascular System & Hematology,0.375,General & Internal Medicine,0.1727941176470588,Clinical Medicine,0.8860294117647058,2637,2446,235606,20-40,journal_heavy,106,3
"Hughes, John",University of Cambridge,gbr,188,1968,2001,82683,7534,42,16.2586802086802,13,149,35,1914,116,3351,3.53976022219225,5958,1.264518294729775,161,0.0417,94364,7862,44,16.73090243090242,13,149,35,1931,116,3426,3.54380941660836,6110,1.286743044189853,161,0,0,2,Pharmacology & Pharmacy,0.3548387096774194,Neurology & Neurosurgery,0.3225806451612903,Clinical Medicine,0.8064516129032258,838,731,157499,20-40,journal_heavy,107,3
"Lovegrove, Barry Gordon",University of KwaZulu-Natal,zaf,73,1986,2020,51894,3137,31,24.5,19,1442,45,2365,67,3006,3.697026461078156,2067,1.517658442186744,72,0.1443,50731,3666,33,27.16666666666666,19,1565,45,2663,67,3500,3.751536263762538,2151,1.704323570432357,72,0,0,1,Physiology,0.4657534246575342,Ecology,0.1506849315068493,Biomedical Research,0.4657534246575342,227,225,25975,20-40,journal_heavy,108,3
"Wong, Kuan Yew",Universiti Teknologi Malaysia,mys,228,2004,2025,46088,7146,41,22.7095238095238,3,642,18,1769,129,4615,3.734613728309595,6267,1.140258496888463,188,0.0654,49461,7646,43,24.6095238095238,3,671,18,1851,129,4900,3.759313209740006,6532,1.170545009185548,196,0,0,14,Artificial Intelligence & Image Processing,0.2149122807017544,Business & Management,0.1798245614035088,Information & Communication Technologies,0.2456140350877193,1040,995,458615,20-40,journal_heavy,109,3
"Drexel, Heinz",Drexel University College of Medicine,usa,398,1980,2025,74205,45904,54,16.20784345014339,16,69,68,767,201,3169,3.57760846639651,40138,1.143654392346405,307,0.1525,75451,54164,57,16.86577849762169,16,71,68,961,201,3624,3.621860552373013,45727,1.184508058696175,317,0,0,18,Cardiovascular System & Hematology,0.3919597989949749,General Clinical Medicine,0.09798994974874371,Clinical Medicine,0.9271356783919598,2516,2514,235606,20-40,journal_heavy,110,3
"Gopakumar, Rajesh","Tata Institute of Fundamental Research, Mumbai",ind,75,1995,2024,74965,4579,35,19.86666666666666,15,278,37,2004,55,3783,3.574269062558448,2748,1.666302765647744,65,0.1236,76581,5225,38,20.81666666666666,15,314,37,2159,55,4246,3.616650042005464,2945,1.774193548387097,66,0,0,0,Nuclear & Particle Physics,0.8,General Physics,0.05333333333333334,Physics & Astronomy,0.92,1358,1156,158450,20-40,journal_heavy,111,3
"Fletcher, Stephen",The Fletcher Consultancy,gbr,117,1977,2025,81399,2706,28,17.87619047619047,45,1074,73,1943,94,2238,3.545228399951033,2372,1.140809443507589,91,0.0812,92348,2945,28,18.32619047619048,45,1116,73,2007,94,2351,3.551431070630342,2527,1.165413533834587,92,0,0,4,Energy,0.6324786324786325,Chemical Physics,0.06837606837606838,Enabling & Strategic Technologies,0.6752136752136753,1300,1125,343394,20-40,journal_heavy,112,3
"Kocevski, Daniel D.",Colby College,usa,361,1998,2025,64700,28909,81,17.31150044406391,2,37,27,1235,53,3719,3.62473447996481,18432,1.568413628472222,333,0.3725,50183,46067,98,20.25283787447087,2,39,27,1695,53,4813,3.755093615641152,24178,1.905327156919514,338,0,0,1,Astronomy & Astrophysics,0.8975069252077562,Nuclear & Particle Physics,0.05540166204986149,Physics & Astronomy,0.9722991689750693,791,832,55063,20-40,journal_heavy,113,3
"Zhu, Junyong",USDA Forest Products Laboratory,usa,325,1991,2025,48158,17724,64,26.23865162615161,5,33,71,2509,192,6687,3.720558975564459,12838,1.380588876772083,274,0.1511,43978,20880,71,29.83031829281827,5,36,71,2956,192,8262,3.794751120893976,13651,1.529558274119112,277,0,0,8,Forestry,0.2492307692307692,Biotechnology,0.1692307692307692,Enabling & Strategic Technologies,0.3292307692307692,35,37,34705,20-40,journal_heavy,114,3
"Wordsworth, Robin D.",Harvard John A. Paulson School of Engineering and Applied Sciences,usa,80,2006,2025,91162,4033,33,14.86231753351319,6,435,23,1918,48,2675,3.505814720276252,2627,1.535211267605634,70,0.2056,86676,5077,37,15.56231753351319,6,471,23,2318,48,3270,3.573758434926232,3016,1.683355437665782,70,0,0,2,Astronomy & Astrophysics,0.7,Meteorology & Atmospheric Sciences,0.125,Physics & Astronomy,0.775,1414,1205,55063,20-40,journal_heavy,115,3
"Chang, Alexander Yuang Chi",Johns Hopkins University,usa,149,1973,2024,86821,10279,36,12.28554208737892,14,436,55,1561,77,2188,3.522963761632655,9735,1.05588084232152,122,0.0464,99254,10779,36,12.88554208737892,14,436,55,1601,77,2260,3.525970923129094,10148,1.062179739850217,123,0,0,11,Oncology & Carcinogenesis,0.6241610738255033,Immunology,0.06040268456375839,Clinical Medicine,0.9261744966442953,3715,3428,355674,20-40,journal_heavy,116,3
"LUND, Christian",Københavns Universitet,dnk,58,1996,2025,57890,4066,24,19.75,36,1843,41,2057,56,3934,3.661705719665405,3102,1.31076724693746,52,0.0455,63365,4260,26,20.25,36,1934,41,2165,56,4114,3.680195080341991,3171,1.343424787133396,52,0,0,1,Development Studies,0.3793103448275862,Cultural Studies,0.1206896551724138,Economics & Business,0.4482758620689655,37,40,5046,20-40,journal_heavy,117,3
"Zwarts, Machiel J.",Kempenhaeghe Epilepsy Centre,nld,219,1985,2025,76890,9490,53,23.63254477004477,4,60,23,847,123,5304,3.565406863193857,7208,1.316592674805771,204,0.1145,83366,10717,54,24.4658781033781,4,64,23,920,123,5840,3.587436775309853,7804,1.373270117888262,204,0,0,4,Neurology & Neurosurgery,0.593607305936073,Sport Sciences,0.0593607305936073,Clinical Medicine,0.8584474885844748,5295,4993,360881,20-40,journal_heavy,118,3
"Smit, H. A.",University Medical Center Utrecht,nld,291,1982,2023,90705,12951,64,21.45908956550043,1,57,11,683,47,2053,3.507642185978832,10958,1.18187625479102,280,0.1773,92347,15742,72,21.9350212186866,1,61,11,721,47,2376,3.551433074188709,12473,1.262086105988936,282,0,0,4,Allergy,0.2302405498281787,Respiratory System,0.1786941580756014,Clinical Medicine,0.697594501718213,270,268,18874,20-40,journal_heavy,119,3
"Wallace, Valerie A.",University of Toronto Faculty of Medicine,can,112,1989,2025,84317,5191,38,14.42204691443821,5,643,14,996,57,3051,3.533253755433058,4342,1.195532012897282,100,0.1055,89034,5803,42,14.89982469221599,5,662,14,1061,57,3323,3.564270535043944,4678,1.240487387772552,103,0,0,2,Developmental Biology,0.3214285714285715,Immunology,0.2678571428571428,Clinical Medicine,0.5178571428571429,2496,2481,157999,20-40,journal_heavy,120,3
"Hillbom, Matti E.",Oulu University Hospital,fin,206,1968,2018,80497,5654,39,20.92867965367965,24,165,82,1461,159,3710,3.549050837701869,4932,1.146390916463909,147,0.0412,92279,5897,40,21.26201298701298,24,171,82,1495,159,3848,3.55172961520173,5068,1.163575374901342,147,0,0,1,Neurology & Neurosurgery,0.3980582524271845,General & Internal Medicine,0.145631067961165,Clinical Medicine,0.8495145631067961,5777,5210,360881,20-40,journal_heavy,121,3
"Gianturco, Francesco Antonio",Institut fur lonenphysik und Angewandte Physik,aut,626,1968,2025,81460,6234,32,22.82063492063492,19,102,241,2303,459,4146,3.544992907546462,3744,1.665064102564103,531,0.3543,55728,9655,42,28.50873015873014,19,114,241,3342,459,6285,3.72155130625478,4564,2.115468886941279,557,0,0,4,Chemical Physics,0.4824281150159744,General Physics,0.2987220447284345,Physics & Astronomy,0.9600638977635783,1191,1552,115551,20-40,journal_heavy,122,3
"Price, Jonathan Stephen",University of Waterloo,can,213,1982,2025,54471,5172,39,25.22738095238094,13,509,40,1618,151,3830,3.681789882231596,3028,1.708058124174372,197,0.2911,39707,7296,47,29.52085921325051,13,680,40,2142,151,5338,3.825171161080086,3339,2.185085354896676,204,0,0,0,Environmental Engineering,0.5821596244131455,Ecology,0.1220657276995305,Engineering,0.6056338028169014,154,226,64516,20-40,journal_heavy,123,3
"O'Grady, Naomi P.",NIH Clinical Center (CC),usa,82,1995,2024,73406,15865,34,10.85718716828556,9,66,38,6725,61,7740,3.581514099886022,13590,1.167402501839588,66,0.0457,85936,16625,34,10.85718716828556,9,66,38,6968,61,8003,3.576756564394034,14112,1.178075396825397,66,0,0,3,Microbiology,0.2439024390243902,Emergency & Critical Care Medicine,0.1341463414634146,Clinical Medicine,0.5975609756097561,2115,1833,217955,20-40,journal_heavy,124,3
"Martínez-Sánchez, Ángel E.",Universidad Carlos III de Madrid,esp,377,1990,2025,91223,7854,44,24.46825396825396,2,39,58,1125,211,4755,3.505548245916639,6255,1.255635491606715,324,0.1482,90840,9220,48,26.83492063492062,2,40,58,1271,211,5527,3.557375687616427,6865,1.343044428259286,336,0,0,7,Artificial Intelligence & Image Processing,0.2572944297082228,Fluids & Plasmas,0.2519893899204244,Physics & Astronomy,0.376657824933687,1857,1889,458615,20-40,journal_heavy,125,3
"Robin, Eugene D.",Stanford University School of Medicine,usa,230,1946,2008,67237,4352,33,19.13293650793651,51,617,130,2061,211,3365,3.612040930260516,3992,1.090180360721443,167,0.0053,79575,4375,33,19.63293650793651,51,617,130,2067,211,3388,3.603259201325939,4010,1.091022443890274,167,0,0,4,General & Internal Medicine,0.3360323886639676,Respiratory System,0.1740890688259109,Clinical Medicine,0.8218623481781376,919,845,348741,20-40,journal_heavy,126,3
"Shakir, Imran",Islamic University of Madinah,sau,372,2010,2025,58005,18137,63,25.95221059470284,5,85,45,1068,129,2876,3.661078215229711,15692,1.155811878664287,339,0.1594,56381,21577,72,27.65022646771872,5,86,45,1134,129,3713,3.717749947186721,16729,1.2897961623528,346,0,0,15,Materials,0.3252688172043011,Applied Physics,0.1397849462365591,Enabling & Strategic Technologies,0.6263440860215054,774,775,314399,20-40,journal_heavy,127,3
"Frierson, Dargan M.W.",College of the Environment,usa,87,2001,2025,54657,7607,43,20.61944444444444,5,411,13,1616,49,4383,3.680806357507861,5403,1.40792152507866,82,0.1151,55845,8596,47,21.35277777777777,5,445,13,1826,49,4896,3.720939218338346,5781,1.486939975782737,84,0,0,0,Meteorology & Atmospheric Sciences,0.8850574712643678,Astronomy & Astrophysics,0.04597701149425287,Earth & Environmental Sciences,0.9195402298850575,910,822,79651,20-40,journal_heavy,128,3
"Whittle, Ian Roger",International Spine Centre,aus,302,1980,2025,50172,10726,45,23.82482457690671,21,193,105,2126,226,4725,3.707709340000847,9902,1.083215512017774,272,0.08800000000000001,54227,11761,47,24.80815791024004,21,215,105,2214,226,5018,3.730461028928438,10663,1.102972896933321,275,0,0,9,Neurology & Neurosurgery,0.6059602649006622,Oncology & Carcinogenesis,0.06291390728476821,Clinical Medicine,0.9470198675496688,3656,3438,360881,20-40,journal_heavy,129,3
"Koven, Charles D.",Lawrence Berkeley National Laboratory,usa,162,2006,2025,81841,17020,59,14.20104833038894,1,53,14,2073,25,2875,3.543181206333224,12454,1.366629195439216,151,0.2103,77880,21553,67,15.26039356848417,1,54,14,2486,25,3444,3.610765484649256,14148,1.523395532937518,155,0,0,13,Meteorology & Atmospheric Sciences,0.7962962962962963,Ecology,0.09259259259259259,Earth & Environmental Sciences,0.8333333333333334,1284,1261,79651,20-40,journal_heavy,130,3
"Shah, Dinesh Ochhavlal",Herbert Wertheim College of Engineering,usa,313,1965,2025,55467,11760,56,30.83888888888887,12,104,31,409,233,9604,3.675914772400105,9589,1.226405256022526,284,0.0689,58877,12630,62,31.83730158730157,12,113,31,433,233,10217,3.703855970839274,9858,1.28119293974437,286,0,0,71,Chemical Physics,0.4006410256410257,Energy,0.09294871794871795,Physics & Astronomy,0.4487179487179487,1253,1106,115551,20-40,journal_heavy,131,3
"Scolyer, Richard A.",The University of Sydney,aus,893,1999,2025,47731,62287,113,31.22000481260043,3,4,59,1010,231,7351,3.723451809233079,45606,1.36576327676183,792,0.135,44811,72004,124,34.32179271494945,3,4,59,1393,231,8714,3.78904256992102,49494,1.454802602335637,814,0,0,91,Oncology & Carcinogenesis,0.3650615901455767,Pathology,0.1668533034714446,Clinical Medicine,0.8947368421052632,1852,2027,355674,20-40,journal_heavy,132,3
