openalex_id,authfull,field,field_type,scopus_pubs,scopus_citations,scopus_h_index,elsevier_pct,nc,h,hm,ncs,ncsf,ncsfl,n_works,rank_global,rank_in_field,sm-subfield-1,sample_stratum,c_score_openalex,rank_openalex
https://openalex.org/A5112181990,"Smith, Pamela H.","Art Practice, History & Theory",book_heavy,33.0,646.0,12.0,0.78125,2208,21,19,1263,1552,1815,128,384527.0,6.0,"Art Practice, History & Theory",top_quartile,3.8241810907465403,397.0
https://openalex.org/A5063712822,"Mohamadpour, Farzaneh",Organic Chemistry,journal_heavy,,,,16.296296296296298,1619,24,22,1045,1520,1558,135,183276.0,3175.0,Organic Chemistry,bottom_quartile,3.8220287756347964,398.0
https://openalex.org/A5111590019,"Allen, Jim",Archaeology,book_heavy,33.0,1599.0,20.0,1.7699115044247788,2772,26,22,445,1293,2254,113,331628.0,457.0,Archaeology,anomaly,3.821693426454071,399.0
https://openalex.org/A5050156026,"Zumbansen, Peer C.",Law,mixed,93.0,1034.0,16.0,0.0,1833,22,20,1160,1329,1815,200,250175.0,280.0,Law,bottom_quartile,3.8066987836590647,400.0
https://openalex.org/A5044447494,"Glock, Sabine",Education,mixed,,,,9.740259740259742,2818,34,20,186,1608,2464,156,233893.0,1731.0,Education,bottom_quartile,3.8021044340295758,401.0
https://openalex.org/A5090392029,"Dawson, Vaille Maree",Education,mixed,48.0,1455.0,20.0,0.8620689655172413,2766,25,18,457,1709,2307,116,290432.0,2281.0,Education,anomaly,3.801264330251995,402.0
https://openalex.org/A5004742575,"Patick, Amy K.",Microbiology,journal_heavy,78.0,8128.0,42.0,29.89690721649485,8894,43,15,112,1327,1922,97,178275.0,4266.0,Microbiology,bottom_quartile,3.800895651051063,403.0
https://openalex.org/A5085076363,"Mazzali, Paolo A.",Astronomy & Astrophysics,journal_heavy,,,,1.0657193605683837,26310,89,21,0,2947,3800,200,24629.0,321.0,Astronomy & Astrophysics,top_quartile,3.8002881979319216,404.0
https://openalex.org/A5020476457,"Boles, Richard G.",Genetics & Heredity,journal_heavy,103.0,6289.0,41.0,35.0,6719,42,17,83,1330,2562,120,161129.0,807.0,Genetics & Heredity,bottom_quartile,3.7959215434672924,405.0
https://openalex.org/A5008594180,"Millard, Andrew R.",Archaeology,book_heavy,,,,17.557251908396946,4237,30,19,474,865,1532,131,,,,,3.7921871906990177,406.0
https://openalex.org/A5029748749,"Constantinou-Deltas, Constantinos D.",Genetics & Heredity,journal_heavy,,,,15.934065934065933,7307,42,15,177,600,3016,184,132131.0,660.0,Genetics & Heredity,bottom_quartile,3.7894248634478127,407.0
https://openalex.org/A5011984378,"Husain, V.",Nuclear & Particle Physics,journal_heavy,117.0,2003.0,27.0,2.877697841726619,2130,26,19,555,1589,1753,139,149085.0,2659.0,Nuclear & Particle Physics,bottom_quartile,3.7861956437594153,408.0
https://openalex.org/A5075838574,"Harris, Lois Ruth",Education,mixed,35.0,1532.0,18.0,8.108108108108109,2738,23,17,486,1783,2384,74,286348.0,2242.0,Education,anomaly,3.784917306676493,409.0
https://openalex.org/A5100419240,"Chen, Yi",Organic Chemistry,journal_heavy,128.0,2343.0,26.0,24.20856610800745,21088,68,28,0,2194,4364,200,182243.0,3158.0,Organic Chemistry,bottom_quartile,3.7753677280768976,410.0
https://openalex.org/A5068649564,"Senn, Hans Martin",Organic Chemistry,journal_heavy,53.0,4632.0,26.0,3.79746835443038,6802,30,17,24,4215,4595,158,220799.0,3824.0,Organic Chemistry,anomaly,3.772590574336708,411.0
https://openalex.org/A5045213996,"Bazilevskaya, Galina A.",Nuclear & Particle Physics,journal_heavy,333.0,9480.0,39.0,10.778443113772456,9702,40,13,167,1308,1370,200,172193.0,3061.0,Nuclear & Particle Physics,bottom_quartile,3.7715480376806934,412.0
https://openalex.org/A5072171411,"Sutherland-Smith, Wendy",Education,mixed,,,,3.4482758620689653,1835,23,18,1036,1215,1701,87,287427.0,2252.0,Education,anomaly,3.7698713939214605,413.0
https://openalex.org/A5037195356,"Sanders, David",Political Science & Public Administration,mixed,91.0,3414.0,31.0,18.88111888111888,22663,74,24,0,1413,7156,200,125977.0,512.0,Political Science & Public Administration,bottom_quartile,3.7684363960822505,414.0
https://openalex.org/A5109894436,"Rousseau, Philip",Religions & Theology,book_heavy,25.0,439.0,9.0,0.0,1898,18,17,1374,1579,1797,138,589776.0,248.0,Religions & Theology,anomaly,3.7680457350555665,415.0
https://openalex.org/A5112809874,"Dawson, P. A.",Literary Studies,book_heavy,,,,14.285714285714285,5842,27,16,236,641,4637,63,769464.0,377.0,Literary Studies,bottom_quartile,3.7672167521533453,416.0
https://openalex.org/A5088827528,"Benard, Gil",Microbiology,journal_heavy,,,,21.32701421800948,5151,38,14,204,904,2669,200,180790.0,4312.0,Microbiology,bottom_quartile,3.765299253815241,417.0
https://openalex.org/A5054649453,"Cowan-Jacob, Sandra W.",Biochemistry & Molecular Biology,journal_heavy,67.0,23285.0,44.0,26.47058823529412,9352,37,19,90,1111,1393,102,102942.0,3807.0,Biochemistry & Molecular Biology,bottom_quartile,3.762689487988913,418.0
https://openalex.org/A5111860113,"Mather, Alexander S.",Geography,mixed,65.0,3032.0,19.0,28.78787878787879,2539,15,13,1683,1957,2089,66,110813.0,425.0,Geography,anomaly,3.7536410774856708,419.0
https://openalex.org/A5059451077,"Zent, Clive S.",Immunology,journal_heavy,177.0,7854.0,53.0,49.67532467532468,8847,55,15,27,1423,2542,200,124072.0,3172.0,Immunology,bottom_quartile,3.7509946647444457,420.0
https://openalex.org/A5001624130,"van Nuffelen, Peter",Classics,book_heavy,58.0,742.0,15.0,0.0,1663,23,20,980,1006,1480,200,336219.0,58.0,Classics,bottom_quartile,3.75022190600811,421.0
https://openalex.org/A5047300245,"Huang, Yuanbiao",Organic Chemistry,journal_heavy,117.0,10077.0,52.0,13.942307692307692,13681,66,24,0,3473,4525,200,230493.0,4008.0,Organic Chemistry,anomaly,3.744290268418959,422.0
https://openalex.org/A5109927617,"Reiffers, Josy J.",Immunology,journal_heavy,467.0,25112.0,68.0,26.48809523809524,20745,58,18,7,1288,2384,200,132168.0,3368.0,Immunology,bottom_quartile,3.742369827466394,423.0
https://openalex.org/A5051316812,"Guo, Zhongwu",Organic Chemistry,journal_heavy,232.0,4899.0,37.0,18.045112781954884,5393,42,18,113,412,3552,200,162769.0,2854.0,Organic Chemistry,bottom_quartile,3.741876819124452,424.0
https://openalex.org/A5029467564,"Bru, Edvin",Education,mixed,109.0,3498.0,36.0,13.6,4565,41,22,81,591,2602,125,239090.0,1797.0,Education,bottom_quartile,3.7404679231691453,425.0
https://openalex.org/A5111778879,"Nelson, D. Erle",Archaeology,book_heavy,68.0,3475.0,29.0,30.851063829787236,6509,38,18,106,864,1734,94,284219.0,377.0,Archaeology,bottom_quartile,3.7373278220219732,426.0
https://openalex.org/A5068458371,"Saitō, Yuriko","Art Practice, History & Theory",book_heavy,,,,0.0,1627,17,16,1588,1590,1617,102,341401.0,3.0,"Art Practice, History & Theory",top_quartile,3.736955712712663,427.0
https://openalex.org/A5055082614,"Linet, Bernard",Nuclear & Particle Physics,journal_heavy,,,,6.896551724137931,1746,20,16,1192,1339,1679,87,193651.0,3486.0,Nuclear & Particle Physics,anomaly,3.73533981630178,428.0
https://openalex.org/A5024838926,"Dang, Hongyue",Microbiology,journal_heavy,80.0,4660.0,36.0,12.22222222222222,5571,39,16,17,3583,3847,90,190117.0,4506.0,Microbiology,anomaly,3.734730427070754,429.0
https://openalex.org/A5037900238,"Turner-Walker, Gordon",Archaeology,book_heavy,,,,36.734693877551024,3357,25,17,387,919,2205,49,244617.0,301.0,Archaeology,bottom_quartile,3.732615167973359,430.0
https://openalex.org/A5024119585,"Noell, George H.",Education,mixed,,,,4.081632653061225,4088,31,20,49,2124,2841,98,271135.0,2079.0,Education,bottom_quartile,3.732333946676635,431.0
https://openalex.org/A5021859707,"Vanderwal, Christopher D.",Organic Chemistry,journal_heavy,100.0,3478.0,36.0,2.4390243902439024,4338,39,20,96,500,3237,200,196522.0,3407.0,Organic Chemistry,bottom_quartile,3.725702468576378,432.0
https://openalex.org/A5109278957,"Chandler, James K.",Literary Studies,book_heavy,28.0,249.0,10.0,3.5294117647058822,2315,18,15,887,1427,2068,85,814497.0,424.0,Literary Studies,anomaly,3.7223129750548134,433.0
https://openalex.org/A5052775622,"Hetherington, Seth V.",Microbiology,journal_heavy,68.0,3682.0,27.0,14.814814814814811,4027,33,11,197,1749,2571,81,206652.0,4833.0,Microbiology,anomaly,3.7205855823650125,434.0
https://openalex.org/A5078895769,"Davidson, Mark A.",Geography,mixed,56.0,2506.0,21.0,21.50537634408602,4677,39,17,92,1130,1865,186,109478.0,419.0,Geography,anomaly,3.7197439941890558,435.0
https://openalex.org/A5069561726,"Yeh, Yu chu",Education,mixed,54.0,1334.0,23.0,29.069767441860467,1957,25,17,516,1320,1525,86,234388.0,1736.0,Education,bottom_quartile,3.7142672854884142,436.0
https://openalex.org/A5019904524,"Persily, Nathaniel A.",Law,mixed,41.0,1131.0,16.0,0.0,2029,22,15,665,1429,1766,90,285152.0,333.0,Law,bottom_quartile,3.7097087631405112,437.0
https://openalex.org/A5107299729,"Conkey, Margaret W.",Archaeology,book_heavy,,,,10.416666666666668,2230,19,16,520,1772,1948,48,297477.0,406.0,Archaeology,anomaly,3.708084938161072,438.0
https://openalex.org/A5030834250,"Gremillion, Kristen J.",Archaeology,book_heavy,29.0,1636.0,19.0,3.79746835443038,2521,24,17,663,1006,1214,79,310923.0,428.0,Archaeology,anomaly,3.707560324293339,439.0
https://openalex.org/A5077726303,"Matory, J. Lorand",Religions & Theology,book_heavy,15.0,583.0,7.0,0.0,1443,17,17,1337,1406,1443,60,582791.0,242.0,Religions & Theology,anomaly,3.703480475807945,440.0
https://openalex.org/A5004543203,"Brumm, Adam",Archaeology,book_heavy,62.0,2723.0,24.0,13.043478260869565,4166,27,16,159,1356,2107,115,284376.0,378.0,Archaeology,bottom_quartile,3.7027679024207183,441.0
https://openalex.org/A5030695541,"Hofman, Diego M.",Nuclear & Particle Physics,journal_heavy,,,,7.142857142857142,2883,23,17,236,1579,2083,42,189552.0,3403.0,Nuclear & Particle Physics,anomaly,3.702030338421964,442.0
https://openalex.org/A5112060847,"Talmon, Stefan",Law,mixed,24.0,848.0,13.0,0.7299270072992701,1406,18,18,1225,1229,1404,138,296057.0,347.0,Law,anomaly,3.7017268353689765,443.0
https://openalex.org/A5065368683,"Nairn, Karen M.",Education,mixed,,,,5.494505494505495,2258,26,17,409,1188,1432,91,281823.0,2192.0,Education,anomaly,3.6981646815538123,444.0
https://openalex.org/A5040858517,"Bendikov, Michael",Organic Chemistry,journal_heavy,,,,2.18978102189781,10150,50,26,0,2544,7490,137,204617.0,3545.0,Organic Chemistry,bottom_quartile,3.697324331221421,445.0
https://openalex.org/A5052129001,"Diprose, Rosalyn",Literary Studies,book_heavy,,,,1.3333333333333337,1736,16,15,1318,1475,1582,75,755664.0,369.0,Literary Studies,bottom_quartile,3.692660552743809,446.0
https://openalex.org/A5109935643,"Ewing, Keith D.",Law,mixed,128.0,944.0,17.0,0.3401360544217687,1670,21,17,722,1293,1398,200,274421.0,314.0,Law,bottom_quartile,3.6894284207405827,447.0
https://openalex.org/A5035191744,"Brown, Jessica A.",Philosophy,book_heavy,50.0,979.0,16.0,21.62162162162162,2847,30,13,194,1633,2166,75,230002.0,280.0,Philosophy,bottom_quartile,3.6851903605571974,448.0
https://openalex.org/A5069125532,"Butler, Virginia L.",Archaeology,book_heavy,,,,17.525773195876287,2315,24,15,586,1113,1413,97,299723.0,411.0,Archaeology,anomaly,3.6851736813662366,449.0
https://openalex.org/A5060541137,"Aubert, Maxime",Archaeology,book_heavy,,,,25.68807339449541,4968,34,14,78,1571,2013,109,290267.0,392.0,Archaeology,bottom_quartile,3.6792741657744985,450.0
https://openalex.org/A5021480569,"Haferlach, Claudia",Immunology,journal_heavy,411.0,24552.0,80.0,57.738095238095234,26896,82,19,0,1124,3585,200,128593.0,3280.0,Immunology,bottom_quartile,3.676238331907223,451.0
https://openalex.org/A5029613804,"Crown, Patricia L.",Archaeology,book_heavy,30.0,937.0,15.0,0.0,1790,22,19,546,1033,1287,76,325472.0,449.0,Archaeology,anomaly,3.6750654411817534,452.0
https://openalex.org/A5111813835,"Yee, Ho Ung",Nuclear & Particle Physics,journal_heavy,99.0,4383.0,35.0,9.482758620689657,4366,36,22,109,209,3411,116,192989.0,3463.0,Nuclear & Particle Physics,anomaly,3.67035641110509,453.0
https://openalex.org/A5001666610,"Roland, Erling",Education,mixed,,,,3.0303030303030303,2028,19,14,633,1354,2014,33,273056.0,2095.0,Education,bottom_quartile,3.6699429264583987,454.0
https://openalex.org/A5110197987,"Cohen, Peter A.",Education,mixed,22.0,1337.0,14.0,9.090909090909092,6595,43,15,115,464,1543,165,290672.0,2282.0,Education,anomaly,3.667973703589334,455.0
