hypothesis,point_estimate,ci_lower,ci_upper,ci_width
H1: Elsevier effect,0.27609282245008104,0.23704068241469822,0.34089123089307466,0.10385054847837644
H2: Book bias,-0.39882202031850245,-0.4717325227963526,-0.33853487919231867,0.1331976436040339
