articles_count,authfull,books_count,books_pct,cambridge_count,cambridge_pct,citation_coverage,country,coverage_ratio,elsevier_citations,elsevier_citations_pct,elsevier_count,elsevier_pct,field,field_type,frontiers_count,institution,match_quality,mdpi_count,oa_count,oa_pct,oa_publisher_count,oa_publisher_pct,openalex_citations,openalex_found,openalex_id,openalex_name,openalex_pubs,oxford_count,oxford_pct,plos_count,publisher_counts,sample_id,sample_stratum,scopus_citations,scopus_h_index,scopus_pubs,springer_count,springer_pct,total_citations,total_works,wiley_count,wiley_pct
63.0,"Redfern, R. C.",37.0,37.0,,,0.7658975801913337,,0.59,464.0,26.1114237478897,15.0,15.0,Archaeology,book_heavy,0.0,,good,,24.0,24.0,0.0,0.0,1777.0,True,https://openalex.org/A5066288957,Rebecca Redfern,100.0,,,0.0,"{""Unknown"": 21, ""Cambridge"": 20, ""Wiley"": 17, ""Elsevier"": 15, ""Other"": 12, ""Springer Nature"": 7, ""Taylor & Francis"": 6, ""Oxford"": 2}",11,bottom_quartile,1361,22,59,7.0,7.000000000000001,1777.0,100.0,17.0,17.0
90.0,"Kohl, Philip L.",41.0,31.29770992366413,,,0.2714681440443213,,0.2824427480916031,120.0,3.32409972299169,1.0,0.7633587786259541,Archaeology,book_heavy,0.0,,good,,7.0,5.343511450381679,0.0,0.0,3610.0,True,https://openalex.org/A5111820622,Philip L. Kohl,131.0,,,0.0,"{""Other"": 44, ""Cambridge"": 32, ""Unknown"": 27, ""Wiley"": 10, ""Taylor & Francis"": 9, ""Springer Nature"": 6, ""Oxford"": 2, ""Elsevier"": 1}",12,bottom_quartile,980,13,37,6.0,4.580152671755725,3610.0,131.0,10.0,7.633587786259542
60.0,"Crown, Patricia L.",16.0,21.052631578947366,,,0.5237562884292901,,0.3947368421052631,0.0,0.0,0.0,0.0,Archaeology,book_heavy,0.0,,good,,12.0,15.789473684210526,0.0,0.0,1789.0,True,https://openalex.org/A5029613804,Patricia L. Crown,76.0,,,0.0,"{""Other"": 27, ""Unknown"": 18, ""Cambridge"": 15, ""Taylor & Francis"": 11, ""Wiley"": 4, ""Springer Nature"": 1}",13,anomaly,937,15,30,1.0,1.3157894736842104,1789.0,76.0,4.0,5.263157894736842
53.0,"Gremillion, Kristen J.",26.0,32.91139240506329,,,0.6510147234381217,,0.3670886075949367,121.0,4.814962196577795,3.0,3.79746835443038,Archaeology,book_heavy,0.0,,good,,11.0,13.924050632911392,0.0,0.0,2513.0,True,https://openalex.org/A5030834250,Kristen J. Gremillion,79.0,,,0.0,"{""Cambridge"": 26, ""Unknown"": 23, ""Other"": 17, ""Wiley"": 5, ""Elsevier"": 3, ""Taylor & Francis"": 3, ""Springer Nature"": 2}",14,anomaly,1636,19,29,2.0,2.5316455696202533,2513.0,79.0,5.0,6.329113924050633
56.0,"Mirti, Piero",0.0,0.0,,,0.8502415458937198,,0.9285714285714286,485.0,29.287439613526573,14.0,25.0,Archaeology,book_heavy,0.0,,good,,1.0,1.7857142857142856,0.0,0.0,1656.0,True,https://openalex.org/A5110218664,Piero Mirti,56.0,,,0.0,"{""Wiley"": 18, ""Elsevier"": 14, ""Springer Nature"": 12, ""Other"": 9, ""Unknown"": 2, ""Taylor & Francis"": 1}",15,anomaly,1408,24,52,12.0,21.428571428571427,1656.0,56.0,18.0,32.142857142857146
83.0,"Odell, George Hamley",19.0,18.62745098039216,,,0.4071216617210682,,0.3235294117647059,149.0,4.421364985163205,6.0,5.88235294117647,Archaeology,book_heavy,0.0,,good,,5.0,4.901960784313726,0.0,0.0,3370.0,True,https://openalex.org/A5012428768,George H. Odell,102.0,,,0.0,"{""Taylor & Francis"": 39, ""Unknown"": 14, ""Springer Nature"": 13, ""Other"": 10, ""Cambridge"": 10, ""Wiley"": 10, ""Elsevier"": 6}",16,anomaly,1372,14,33,13.0,12.745098039215684,3370.0,102.0,10.0,9.803921568627452
104.0,"Allen, Jim",9.0,7.964601769911504,,,0.5778821828695337,,0.2920353982300885,20.0,0.7228044813877845,2.0,1.7699115044247788,Archaeology,book_heavy,0.0,,good,,25.0,22.12389380530973,0.0,0.0,2767.0,True,https://openalex.org/A5111590019,Jim Allen,113.0,,,0.0,"{""Taylor & Francis"": 37, ""Unknown"": 25, ""Other"": 19, ""Wiley"": 17, ""Cambridge"": 10, ""Elsevier"": 2, ""Springer Nature"": 2, ""Oxford"": 1}",17,anomaly,1599,20,33,2.0,1.7699115044247788,2767.0,113.0,17.0,15.04424778761062
98.0,"Cameron, Catherine M.",26.0,20.967741935483872,,,0.3241678726483357,,0.2580645161290322,353.0,12.771345875542693,9.0,7.258064516129033,Archaeology,book_heavy,0.0,,good,,13.0,10.483870967741936,0.0,0.0,2764.0,True,https://openalex.org/A5040722960,Catherine M. Cameron,124.0,,,0.0,"{""Other"": 35, ""Unknown"": 31, ""Cambridge"": 15, ""Taylor & Francis"": 14, ""Wiley"": 13, ""Elsevier"": 9, ""Springer Nature"": 6, ""Oxford"": 1}",18,anomaly,896,15,32,6.0,4.838709677419355,2764.0,124.0,13.0,10.483870967741936
99.0,"Adas, Michael",50.0,33.557046979865774,,,0.2803135085292761,,0.1946308724832214,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,7.0,4.697986577181208,0.0,0.0,4338.0,True,https://openalex.org/A5112210942,Michael Adas,149.0,,,0.0,"{""Unknown"": 54, ""Oxford"": 34, ""Other"": 33, ""Cambridge"": 21, ""Taylor & Francis"": 5, ""Wiley"": 1, ""Springer Nature"": 1}",19,top_quartile,1216,11,29,1.0,0.6711409395973155,4338.0,149.0,1.0,0.6711409395973155
52.0,"Sugrue, Thomas J.",46.0,46.93877551020408,,,0.6797636632200886,,0.2653061224489796,0.0,0.0,0.0,0.0,History,book_heavy,0.0,,good,,12.0,12.244897959183673,0.0,0.0,3385.0,True,https://openalex.org/A5058784864,Thomas J. Sugrue,98.0,,,0.0,"{""Other"": 53, ""Unknown"": 26, ""Oxford"": 9, ""Cambridge"": 8, ""Springer Nature"": 1, ""Taylor & Francis"": 1}",20,top_quartile,2301,8,26,1.0,1.020408163265306,3385.0,98.0,0.0,0.0
