tier,mean_cites_per_pub,n_high_elsevier,n_low_elsevier,coverage_high_elsevier,coverage_low_elsevier,difference_pp,p_value,significant
Medium citation impact,38.717624223257296,62,71,0.5998033871039814,0.3526011560693641,24.72022310346173,3.5813022731933467e-07,True
Low citation impact,16.325264900605475,52,70,0.41942142044531117,0.2661080953504838,15.331332509482737,0.0001799307938353755,True
High citation impact,111.99519149998531,59,60,0.7628205128205128,0.41645021645021646,34.637029637029634,1.81127048494084e-09,True
