analysis,statistic,p_value
Global rank vs coverage,-0.27392089358192023,3.1082976865402486e-11
Field rank vs coverage,0.3735027655612644,3.036212994447744e-20
Top quartile median,54.995080676898866,
Bottom quartile median,31.400560224089634,
Quartile difference,23.59452045280923,
