authfull,field,field_type,rank_openalex,rank_global,c_score_openalex,elsevier_pct,nc,h,scopus_pubs,scopus_citations,rank_change
"Hofstede, Geert H.",Business & Management,mixed,1.0,3466.0,5.6513127110074555,10.975609756097562,123124,73,,,3465.0
"Sunstein, Cass R.",Law,mixed,2.0,633.0,5.6070622746939405,0.984251968503937,70108,116,410.0,41369.0,631.0
"Hayes, Andrew F.",Communication & Media Studies,mixed,3.0,1248.0,5.598415873642758,3.8461538461538463,154148,53,78.0,74287.0,1245.0
"Massey, Douglas S.",Sociology,mixed,4.0,641.0,5.492770957682474,6.0606060606060606,63332,117,314.0,33347.0,637.0
"Dörnyei, Zoltán",Languages & Linguistics,mixed,5.0,5305.0,5.485185753772809,2.0338983050847457,54379,85,89.0,16236.0,5300.0
"Castells, Manuel",Sociology,mixed,6.0,25049.0,5.446192419231724,1.4492753623188406,45146,83,78.0,6129.0,25043.0
"Frey, Bruno S.",Economics,mixed,7.0,2575.0,5.39503340331805,3.947368421052632,46119,110,,,2568.0
"Floridi, Luciano",Philosophy,book_heavy,8.0,2274.0,5.37514089739206,1.044932079414838,41169,105,341.0,21033.0,2266.0
"Wellman, Barry",Sociology,mixed,9.0,8474.0,5.267075423950708,4.45859872611465,41417,85,,,8465.0
"Frankel, Jeffrey A.",Economics,mixed,10.0,13212.0,5.253866895824359,7.2485207100591715,33400,86,118.0,12940.0,13202.0
"Langacker, Ronald W.",Languages & Linguistics,mixed,11.0,22992.0,5.233061269457642,1.4705882352941175,29216,66,71.0,5694.0,22981.0
"Stackebrandt, Erko",Microbiology,journal_heavy,12.0,4249.0,5.205702004012869,13.436385255648036,65974,116,669.0,46776.0,4237.0
"Pettit, Philip N.",Philosophy,book_heavy,13.0,12840.0,5.200729214299317,0.8665511265164645,26621,79,244.0,7878.0,12827.0
"Mignolo, Walter D.",Literary Studies,book_heavy,14.0,16555.0,5.19879107454128,0.0,28268,61,,,16541.0
"Garrison, D. Randy",Education,mixed,15.0,11106.0,5.1944580005907115,9.30232558139535,42846,64,,,11091.0
"Blundell, Richard W.",Economics,mixed,16.0,8575.0,5.180695350725838,5.263157894736842,59037,86,173.0,32732.0,8559.0
"Crystal, David",Languages & Linguistics,mixed,17.0,167882.0,5.140009132118294,1.1703511053315996,28224,61,117.0,1280.0,167865.0
"Wang, Xiao Jing",Neurology & Neurosurgery,journal_heavy,18.0,2466.0,5.127037036947302,17.551963048498845,38902,90,184.0,28347.0,2448.0
"Jackson, Robert",Religions & Theology,book_heavy,19.0,268795.0,5.12262956062254,6.563706563706563,119342,160,73.0,840.0,268776.0
"Clandinin, D. J.",Education,mixed,20.0,51600.0,5.088854140558145,3.3582089552238807,35715,62,,,51580.0
"Kalleberg, Arne L.",Sociology,mixed,21.0,10883.0,5.065759326384227,4.0625,26591,72,116.0,11271.0,10862.0
"McCroskey, James C.",Communication & Media Studies,mixed,22.0,20192.0,5.061585851622288,2.380952380952381,25476,86,147.0,8791.0,20170.0
"Maddala, G. S.",Economics,mixed,23.0,136616.0,5.051369262919902,14.285714285714285,31610,48,48.0,5766.0,136593.0
"Kirschner, Paul A.",Education,mixed,24.0,7300.0,5.03586983740773,14.04549950544016,37272,99,,,7276.0
"Grossman, Gene M.",Economics,mixed,25.0,11004.0,5.026340845766659,5.841924398625429,34944,77,101.0,17044.0,10979.0
"Hodder, Ian",Archaeology,book_heavy,26.0,27032.0,5.025105437787839,4.901960784313726,20279,67,,,27006.0
"Ellison, Christopher G.",Religions & Theology,book_heavy,27.0,7482.0,5.02327753040509,6.227106227106227,28003,92,214.0,17349.0,7455.0
"Schmidt, Vivien A.",Political Science & Public Administration,mixed,28.0,10661.0,5.019848278255124,0.5970149253731344,18765,55,109.0,9120.0,10633.0
"Fine, Kit",Philosophy,book_heavy,29.0,22583.0,5.019214657271532,0.7662835249042145,15378,61,,,22554.0
"Massey, Doreen B.",Geography,mixed,30.0,24212.0,4.997718539682365,2.2222222222222223,19678,54,90.0,5827.0,24182.0
"Deisenhofer, Johann",Biochemistry & Molecular Biology,journal_heavy,31.0,12418.0,4.994889558715592,23.17596566523605,35451,79,131.0,23090.0,12387.0
"Nelson, Jenny M.",Nuclear & Particle Physics,journal_heavy,32.0,2516.0,4.989855816362558,11.49228130360206,48629,116,,,2484.0
"Robinson, Peter J.",Languages & Linguistics,mixed,33.0,32094.0,4.985675079991373,7.4074074074074066,21786,65,48.0,4928.0,32061.0
"Walker, Alan C.",Anthropology,book_heavy,34.0,47273.0,4.955957553470923,8.732057416267942,23052,86,115.0,8649.0,47239.0
"Dick, John E.",Immunology,journal_heavy,35.0,5418.0,4.949484460870522,34.64467005076142,62862,105,260.0,52671.0,5383.0
"Burawoy, Michael",Sociology,mixed,36.0,11685.0,4.92944749823826,0.8450704225352111,17203,51,118.0,8232.0,11649.0
"Ong, Aihwa",Anthropology,book_heavy,37.0,27600.0,4.915829945852389,1.7543859649122806,22812,44,55.0,6892.0,27563.0
"Hooghe, Liesbet",Political Science & Public Administration,mixed,38.0,22570.0,4.90913395283654,1.6666666666666667,27951,61,73.0,13749.0,22532.0
"Watts, Michael J.",Geography,mixed,39.0,20883.0,4.89441992140625,5.631067961165048,19860,65,146.0,6761.0,20844.0
"Scheidel, Walter",Classics,book_heavy,40.0,33031.0,4.882059547985595,0.7168458781362007,11619,60,92.0,3976.0,32991.0
"Mele, Alfred R.",Philosophy,book_heavy,41.0,36329.0,4.8746325273716735,1.327433628318584,12031,58,181.0,4164.0,36288.0
"Schimmelfennig, Frank",Political Science & Public Administration,mixed,42.0,13573.0,4.874550359599875,0.0,15854,59,142.0,8504.0,13531.0
"Knack, Stephen F.",Economics,mixed,43.0,14872.0,4.866097846392562,5.555555555555555,21865,54,60.0,15186.0,14829.0
"Hunter, Christopher A.",Organic Chemistry,journal_heavy,44.0,3413.0,4.795888988694264,14.717741935483872,35206,102,,,3369.0
"Shamir, Boas",Business & Management,mixed,45.0,27395.0,4.7944425144856755,17.94871794871795,18727,52,,,27350.0
"Clark, Timothy",Literary Studies,book_heavy,46.0,284179.0,4.790127686268222,5.480984340044743,29131,75,27.0,1157.0,284133.0
"van Praag, Henriette",Neurology & Neurosurgery,journal_heavy,47.0,17233.0,4.790060844198618,25.352112676056336,29879,57,89.0,23481.0,17186.0
"Piperno, Dolores R.",Archaeology,book_heavy,48.0,20844.0,4.787463719746329,24.71264367816092,17573,68,,,20796.0
"Warde, Alan",Sociology,mixed,49.0,23430.0,4.781554139582902,4.199475065616798,13420,56,111.0,7437.0,23381.0
"Das, Veena",Anthropology,book_heavy,50.0,24970.0,4.770799882718739,4.014598540145985,13111,50,111.0,6010.0,24920.0
"Teubner, Günther",Law,mixed,51.0,82023.0,4.768185233165269,0.8771929824561403,11305,49,,,81972.0
"Brodsky, Stanley J.",Nuclear & Particle Physics,journal_heavy,52.0,3202.0,4.751071222495243,12.603305785123966,32760,93,530.0,34921.0,3150.0
"Quigley, John M.",Economics,mixed,53.0,31114.0,4.739715962123569,10.193321616871703,18166,66,117.0,8715.0,31061.0
"Nicholson, Donald W.",Biochemistry & Molecular Biology,journal_heavy,54.0,8511.0,4.730919457077509,41.07142857142857,35539,74,152.0,33793.0,8457.0
"Soames, Scott",Philosophy,book_heavy,55.0,79169.0,4.7307550860702605,0.0,9863,47,,,79114.0
"Kirzner, Israel M.",Economics,mixed,56.0,135067.0,4.730408207882196,0.0,17098,35,39.0,3063.0,135011.0
"Davies, Alun M.",Neurology & Neurosurgery,journal_heavy,57.0,15847.0,4.7290120994964,33.624454148471614,18450,76,,,15790.0
"Fiorina, Morris P.",Political Science & Public Administration,mixed,58.0,106851.0,4.728655116676423,0.684931506849315,15607,46,50.0,2979.0,106793.0
"Berninger, Virginia Wise",Education,mixed,59.0,18301.0,4.72772399666804,16.39871382636656,19055,76,232.0,13304.0,18242.0
"Hew, Khe Foon Timothy",Education,mixed,60.0,18965.0,4.726739266560213,10.78838174273859,17820,59,179.0,10979.0,18905.0
