cap,n,correlation,p_value,median_difference
1.2 (120%),353,0.553190264241451,1.0959852442151095e-29,0.2680624298515153
1.3 (130%),353,0.553190264241451,1.0959852442151095e-29,0.2680624298515153
1.4 (140%),356,0.5514727302110436,1.0261252392270158e-29,0.27277576704420115
1.5 (150%),358,0.5629464305672037,2.5709062378899114e-31,0.27609282245008104
Uncapped,374,-0.04254370416490886,0.4120032286868792,0.28731102209587805
