Model,Elsevier_β,Elsevier_p,R²
Baseline,-1.390494560667175,0.4120032286868799,0.0018099667640715245
With citation control,-1.4205959641436612,0.4062589498560636,0.001863767142768591
Full model,-6.051984485960776,0.006494047882327769,0.04068958928652011
