sample_id,authfull,field,field_type,sample_stratum,scopus_pubs,scopus_citations,scopus_h_index,openalex_found,openalex_id,openalex_name,openalex_pubs,openalex_citations,coverage_ratio,citation_coverage,match_quality,total_works,total_citations,books_count,books_pct,articles_count,oa_count,oa_pct,elsevier_count,elsevier_pct,elsevier_citations,elsevier_citations_pct,wiley_count,wiley_pct,springer_count,springer_pct,plos_count,frontiers_count,oa_publisher_count,oa_publisher_pct,publisher_counts
259,"Lang, Annie",Communication & Media Studies,mixed,top_quartile,90,6999,40,True,https://openalex.org/A5013574246,Annie Lang,151.0,10511.0,0.5960264900662252,0.6658738464465798,good,151.0,10511.0,10.0,6.622516556291391,141.0,15.0,9.933774834437086,2.0,1.3245033112582782,497.0,4.728379792598231,6.0,3.9735099337748347,1.0,0.6622516556291391,0.0,1.0,1.0,0.6622516556291391,"{""Unknown"": 57, ""Taylor & Francis"": 51, ""Other"": 27, ""Wiley"": 6, ""Oxford"": 5, ""Elsevier"": 2, ""Springer Nature"": 1, ""Frontiers"": 1, ""Cambridge"": 1}"
260,"Chen, Wenhong",Communication & Media Studies,mixed,bottom_quartile,72,3423,25,True,https://openalex.org/A5103159189,Wenhong Chen,160.0,5272.0,0.45,0.6492792109256449,good,160.0,5272.0,15.0,9.375,145.0,56.0,35.0,14.0,8.75,777.0,14.738239757207891,10.0,6.25,9.0,5.625,1.0,1.0,2.0,1.25,"{""Other"": 73, ""Unknown"": 32, ""Elsevier"": 14, ""Taylor & Francis"": 13, ""Wiley"": 10, ""Springer Nature"": 9, ""Oxford"": 4, ""Cambridge"": 3, ""PLOS"": 1, ""Frontiers"": 1}"
261,"Afifi, Walid Adel",Communication & Media Studies,mixed,bottom_quartile,71,3738,34,True,https://openalex.org/A5062680393,Walid A. Afifi,95.0,5521.0,0.7473684210526316,0.6770512588299221,good,95.0,5521.0,10.0,10.526315789473683,85.0,5.0,5.263157894736842,3.0,3.1578947368421053,34.0,0.6158304654953812,16.0,16.842105263157894,1.0,1.0526315789473684,0.0,0.0,0.0,0.0,"{""Unknown"": 28, ""Taylor & Francis"": 24, ""Other"": 22, ""Wiley"": 16, ""Elsevier"": 3, ""Springer Nature"": 1, ""Oxford"": 1}"
262,"McNair, Brian",Communication & Media Studies,mixed,bottom_quartile,65,1412,19,True,https://openalex.org/A5011201188,Brian McNair,385.0,4861.0,0.16883116883116883,0.29047521086196254,good,385.0,4861.0,133.0,34.54545454545455,252.0,13.0,3.3766233766233764,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5194805194805194,0.0,0.0,0.0,0.0,"{""Unknown"": 257, ""Other"": 94, ""Taylor & Francis"": 29, ""Springer Nature"": 2, ""Cambridge"": 2, ""Oxford"": 1}"
263,"Cammaerts, Bart",Communication & Media Studies,mixed,bottom_quartile,47,1548,23,True,https://openalex.org/A5044614561,Bart Cammaerts,237.0,3359.0,0.19831223628691982,0.46085144388210775,good,237.0,3359.0,65.0,27.42616033755274,172.0,100.0,42.19409282700422,0.0,0.0,0.0,0.0,1.0,0.42194092827004215,13.0,5.485232067510549,0.0,0.0,0.0,0.0,"{""Other"": 159, ""Unknown"": 43, ""Taylor & Francis"": 18, ""Springer Nature"": 13, ""Oxford"": 3, ""Wiley"": 1}"
264,"Bucher, Taina",Communication & Media Studies,mixed,bottom_quartile,14,2736,11,True,https://openalex.org/A5019509861,Taina Bucher,46.0,4905.0,0.30434782608695654,0.5577981651376147,good,46.0,4905.0,14.0,30.434782608695656,32.0,17.0,36.95652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""Unknown"": 25, ""Other"": 18, ""Taylor & Francis"": 2, ""Oxford"": 1}"
265,"McLeod, Jack M.",Communication & Media Studies,mixed,bottom_quartile,57,3943,29,True,https://openalex.org/A5089767940,Jack M. McLeod,89.0,6030.0,0.6404494382022472,0.6538971807628524,good,89.0,6030.0,14.0,15.730337078651685,75.0,4.0,4.49438202247191,1.0,1.1235955056179776,171.0,2.8358208955223883,3.0,3.3707865168539324,1.0,1.1235955056179776,0.0,0.0,0.0,0.0,"{""Unknown"": 32, ""Other"": 30, ""Taylor & Francis"": 11, ""Oxford"": 11, ""Wiley"": 3, ""Elsevier"": 1, ""Springer Nature"": 1}"
266,"Theocharis, Yannis",Communication & Media Studies,mixed,anomaly,46,2391,25,True,https://openalex.org/A5083370450,Yannis Theocharis,90.0,4364.0,0.5111111111111111,0.5478918423464711,good,90.0,4364.0,16.0,17.77777777777778,74.0,47.0,52.22222222222223,1.0,1.1111111111111112,197.0,4.514207149404216,6.0,6.666666666666667,3.0,3.3333333333333335,0.0,0.0,0.0,0.0,"{""Unknown"": 27, ""Other"": 20, ""Taylor & Francis"": 17, ""Oxford"": 12, ""Wiley"": 6, ""Cambridge"": 4, ""Springer Nature"": 3, ""Elsevier"": 1}"
267,"Chalaby, Jean K.",Communication & Media Studies,mixed,anomaly,39,1171,19,True,https://openalex.org/A5073987633,Jean K. Chalaby,88.0,2155.0,0.4431818181818182,0.5433874709976798,good,88.0,2155.0,35.0,39.77272727272727,53.0,11.0,12.5,0.0,0.0,0.0,0.0,3.0,3.4090909090909087,22.0,25.0,0.0,0.0,0.0,0.0,"{""Other"": 36, ""Springer Nature"": 22, ""Unknown"": 18, ""Taylor & Francis"": 5, ""Wiley"": 3, ""Cambridge"": 2, ""Oxford"": 2}"
268,"Shome, Raka",Communication & Media Studies,mixed,anomaly,28,1422,17,True,https://openalex.org/A5045353361,Raka Shome,40.0,1765.0,0.7,0.8056657223796034,good,40.0,1765.0,10.0,25.0,30.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""Taylor & Francis"": 15, ""Other"": 12, ""Unknown"": 8, ""Wiley"": 4, ""Oxford"": 1}"
269,"van Doorn, Niels",Communication & Media Studies,mixed,anomaly,28,1585,17,True,https://openalex.org/A5031457084,Niels van Doorn,50.0,2624.0,0.56,0.6040396341463414,good,50.0,2624.0,11.0,22.0,39.0,24.0,48.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""Other"": 27, ""Unknown"": 13, ""Taylor & Francis"": 5, ""Oxford"": 4, ""Wiley"": 1}"
