,mean,std,min,max,range
match_rate,91.45,2.4710827586303137,87.75,94.25,6.5
h1_cohens_d,0.581899160251184,0.08540054268541551,0.4803804246897755,0.7053367989832943,0.22495637429351878
h1_mean_diff,15.70005318247583,4.17220426264049,10.900473933649295,21.875,10.974526066350705
h1_correlation,0.3481919964060509,0.04552295381157164,0.28660005471168926,0.39564334546240254,0.10904329075071328
h1_pvalue,1.0709685609200193e-09,2.373294928221013e-09,1.9330332103463446e-16,5.316348671584289e-09,5.316348478280968e-09
h3_cohens_d,0.0712570714786753,0.5552403622254334,-0.3787755326599629,0.8462421642162985,1.2250176968762614
h3_mean_diff,1.4720812182741099,15.727691870404808,-12.436548223350258,24.45008460236886,36.88663282571912
h3_pvalue,0.31978722791578484,0.18355672457510397,0.04031263101722152,0.4995527557741487,0.4592401247569272
h2_cliffs_delta,-0.0787899923793286,0.010923389136011036,-0.08651399491094147,-0.07106598984771574,0.015448005063225731
h2_mean_diff,-7.878999237932867,1.092338913601104,-8.651399491094153,-7.10659898477158,1.5448005063225736
h2_correlation,0.17743917721233285,0.009451224494151592,0.17075615228200186,0.18412220214266384,0.013366049860661977
h2_pvalue,0.0004088633455597587,0.000276452756813116,0.00021338172653948884,0.0006043449645800285,0.0003909632380405397
