h1_cohens_d,h1_correlation,h1_pvalue,h4_correlation,h4_pvalue,replicate
,0.18456605412637792,5.348027666585142e-06,0.29329784963704386,2.281796938763059e-13,1
,0.18159482105294283,7.600493000100737e-06,0.2883130800296868,5.980060395752366e-13,2
,0.1700253458531808,2.831778866623595e-05,0.2857454917588687,9.75053990240864e-13,3
,0.16868338801652655,3.2805585352715784e-05,0.292787701822406,2.5204516559337837e-13,4
,0.17966165716566584,9.524602482599984e-06,0.31063892939752,6.880746207893162e-15,5
,0.1938122146245264,1.7275442749679497e-06,0.3123440272519722,4.8147671399685565e-15,6
,0.189103085490178,3.0929056569481338e-06,0.32195115504435934,6.166079670933754e-16,7
,0.15635090558668452,0.00012031304920984141,0.278908045871215,3.498749502551322e-12,8
,0.15341983801007303,0.00016160503066009693,0.2548092194619088,2.399029501571451e-10,9
,0.1859054441349552,4.555968310300343e-06,0.3021495419455772,3.933717083377551e-14,10
,0.18466926895839852,5.28259032987201e-06,0.28812849689195985,6.195007677573324e-13,11
,0.17473561653367348,1.6746659784227644e-05,0.2863970338576447,8.616991537876014e-13,12
,0.18223320272721627,7.051004783321539e-06,0.3170650029198355,1.7700881866484602e-15,13
,0.19280648051161067,1.9587200008428818e-06,0.313103701632683,4.103622647201062e-15,14
,0.18883590606974046,3.1954433457100414e-06,0.3306406961833055,9.00851982449749e-17,15
,0.15037649029717692,0.00021831955700838697,0.2779424226766095,4.178795012484251e-12,16
,0.19324908458706927,1.8535488564333832e-06,0.3142340346475664,3.2323918548131343e-15,17
,0.19260691687620016,2.0079888523106263e-06,0.3251341785205084,3.0699621068489826e-16,18
,0.20793679735785703,2.76139280344814e-07,0.3271567793459794,1.962484910922354e-16,19
,0.1826824649590411,6.687250229739595e-06,0.28768813201252086,6.73883214638042e-13,20
,0.18148586296780322,7.698268301338178e-06,0.2915687693510795,3.1941254946073883e-13,21
,0.17717973052250657,1.2681238950434263e-05,0.2961293951061974,1.3089166048208584e-13,22
,0.20368603598295348,4.861332622610538e-07,0.34036009180796944,9.72981942109329e-18,23
,0.17823661494844917,1.1231343906581936e-05,0.30509567532732224,2.161854681693002e-14,24
,0.18781245807356478,3.6191317139760394e-06,0.32931976047216605,1.2116488580510783e-16,25
,0.1562167689413852,0.00012196267255937047,0.26345498327059447,5.5264589940535135e-11,26
,0.1922311827212183,2.103992075836883e-06,0.28679397682609586,7.990753647854329e-13,27
,0.1478897796295669,0.00027798337222787665,0.2515092090469173,4.142462388964034e-10,28
,0.20063388104361854,7.243258984731685e-07,0.33102312068990547,8.265510611932652e-17,29
,0.1705359980828166,2.6768215350209868e-05,0.2836952421828838,1.4355435768939728e-12,30
,0.17712385850629597,1.276264530140032e-05,0.30521803018003857,2.108461227927277e-14,31
,0.1610095254102597,7.446076799260464e-05,0.2504035195470071,4.965794517664875e-10,32
,0.19963242875448545,8.244760933762515e-07,0.31877015140136367,1.2277805539235783e-15,33
,0.18498558027081652,5.086780548060837e-06,0.3164132540641543,2.034472994453444e-15,34
,0.19324985536764272,1.853370515229737e-06,0.3196757187704803,1.0100245939605753e-15,35
,0.19678399817702097,1.18739889261807e-06,0.3234935881995227,4.4023959188795034e-16,36
,0.19322220899261167,1.8597775566757356e-06,0.30440564439047635,2.4887533379564057e-14,37
,0.19289211084560204,1.9379364056066348e-06,0.32916045490556683,1.2556210223156363e-16,38
,0.17221889331114124,2.2211254771064574e-05,0.28074442773013125,2.4910369789095954e-12,39
,0.19435124446455615,1.614652919946881e-06,0.32827635425121565,1.5297236018313728e-16,40
,0.17122857521026602,2.479471546662344e-05,0.2658560941293394,3.6409097198788984e-11,41
,0.20794785759764428,2.757289164630192e-07,0.3377807222459087,1.7699560275794236e-17,42
,0.22323789320125448,3.263469877535957e-08,0.37208249948659955,3.872005680165136e-21,43
,0.20001270920878544,7.84971972503979e-07,0.30657266132932504,1.5972754439281332e-14,44
,0.17075038282189042,2.6141937511258244e-05,0.2835528644128339,1.4744533141862272e-12,45
,0.21147157449743142,1.7096843780184593e-07,0.3231589947844554,4.736975376297754e-16,46
,0.18409699527402523,5.655284468948679e-06,0.27594099360048474,6.02523309746762e-12,47
,0.18856834873595504,3.301380692410847e-06,0.3154338071395348,2.5062708764759255e-15,48
,0.21122348095661528,1.7686721795849627e-07,0.34044401255911105,9.541337260562269e-18,49
,0.18148622815906995,7.697938596405275e-06,0.29826675088797516,8.569251861561741e-14,50
,0.19695044733904055,1.162525876656702e-06,0.3098346428061227,8.136330998812389e-15,51
,0.15298718094905997,0.00016872391238179592,0.2776248009007302,4.429534813237843e-12,52
,0.19902704605743948,8.913323155547211e-07,0.3208439731986461,7.843719257776799e-16,53
,0.18470253610993015,5.261662689183268e-06,0.29135148868230565,3.3314850059865373e-13,54
,0.2190187499929795,5.973576110145794e-08,0.3396526828055363,1.1471363222121816e-17,55
,0.22008483230671905,5.1331750394735094e-08,0.358170241195832,1.3377515365921485e-19,56
,0.1704237375893683,2.7101810946485474e-05,0.30548116866229025,1.997978118184491e-14,57
,0.1566013439259497,0.00011728915450896231,0.26002930779983696,9.95118021966301e-11,58
,0.2206796644758845,4.715203934829326e-08,0.36012002928442444,8.227757591142506e-20,59
,0.154500780341049,0.00014503190606775197,0.26207424205403534,7.012009647580925e-11,60
,0.19768088502432835,1.0591643309396163e-06,0.3335394168424435,4.6770920172314087e-17,61
,0.18569812371151712,4.670770497821754e-06,0.30254572863541285,3.630896501154399e-14,62
,0.19304977121063766,1.9002216746734904e-06,0.29860791610662885,8.006370556984366e-14,63
,0.1857342106536166,4.650590901911483e-06,0.31253249285589313,4.627801336309783e-15,64
,0.17202237489494487,2.270267369694813e-05,0.2919002058603853,2.995220357071625e-13,65
,0.17496942599048326,1.6309710371145644e-05,0.27303554831212395,1.0194898380544836e-11,66
,0.1693661568747361,3.0444118499770755e-05,0.28932973866100237,4.920779169269291e-13,67
,0.1813842790936483,7.790505859723742e-06,0.2926206849779255,2.603773549469206e-13,68
,0.1611188111040821,7.361550015407354e-05,0.2800271966025589,2.8453256837180405e-12,69
,0.17463289739817034,1.6942122226102782e-05,0.28853863888810294,5.727294563303161e-13,70
,0.19933808399203806,8.563572920737338e-07,0.3102908684897906,7.398856833902477e-15,71
,0.16393358859448992,5.4721481358555094e-05,0.2775471567772563,4.493032736149641e-12,72
,0.19483864116144373,1.5186933153750164e-06,0.32276981367168467,5.157667535483164e-16,73
,0.1993172759966152,8.586553220376445e-07,0.3137580661089283,3.574546272573592e-15,74
,0.17679819053617835,1.324713621380238e-05,0.2982865275964508,8.535589064447618e-14,75
,0.17757054976211736,1.2125475237096781e-05,0.3117053340991093,5.505226195234572e-15,76
,0.15814846108557995,0.00010013681313709415,0.25832783471585985,1.3285350235775714e-10,77
,0.21790084622340927,6.997231465703145e-08,0.35726502084885164,1.6744977873348396e-19,78
