,mean,std,ci_lower,ci_upper,min,max
h1_correlation,0.18324026145466876,0.01750900135375583,0.15019992021585538,0.21843880831610457,0.12539487720305323,0.2402291690871589
h1_pvalue,3.380205924823382e-05,0.00010435996059892673,6.485613117585438e-08,0.00022212586984853748,2.5284652104708838e-09,0.002088962903118996
h4_correlation,0.29931454433580335,0.025600783391733065,0.24778016188833948,0.34826815261042254,0.2163608062113169,0.3880051890452907
h4_pvalue,3.291579825594911e-10,3.956746659548059e-09,1.500156533936161e-18,7.621903528666699e-10,5.408636637649722e-23,8.688787353117827e-08
