replicate,n_total,n_matched,match_rate,h1_cohens_d,h1_mean_diff,h1_correlation,h1_pvalue,h3_cohens_d,h3_mean_diff,h3_pvalue,h4_correlation,h4_pvalue,h2_cliffs_delta,h2_mean_diff,h2_correlation,h2_pvalue
1,400,377,94.25,0.4803804246897755,10.900473933649295,0.28660005471168926,5.316348671584289e-09,0.4756846696073732,11.08291032148901,0.24820599356029582,,,,,,
2,400,372,93.0,0.5291236737516206,13.084112149532714,0.3227658527988072,3.767886332611407e-11,-0.2779917439873209,-7.10659898477158,0.4995527557741487,,,-0.07106598984771574,-7.10659898477158,0.17075615228200186,0.0006043449645800285
3,400,351,87.75,0.7053367989832943,21.875,0.39564334546240254,1.9330332103463446e-16,-0.3787755326599629,-12.436548223350258,0.35770119432244496,,,,,,
4,400,363,90.75,0.610906665727111,16.972477064220186,0.3881608469193175,7.818594498200098e-16,0.8462421642162985,24.45008460236886,0.04031263101722152,,,,,,
5,400,366,91.5,0.5837482381041189,15.668202764976954,0.3477898821380384,8.14294526921879e-13,-0.3088741997830115,-8.629441624365484,0.45316356490481324,,,-0.08651399491094147,-8.651399491094153,0.18412220214266384,0.00021338172653948884
