replicate,n_obs,elsevier_median,elsevier_ci_lower,elsevier_ci_upper,elsevier_pd,books_median,books_ci_lower,books_ci_upper,books_pd,max_rhat
replicate_1,331,0.13412670875055194,0.05762316288594383,0.21169355566853337,0.99975,-0.05028250366614184,-0.12918590256265455,0.025162277272315806,0.8985,1.0019324993884964
replicate_2,337,0.21721521677041755,0.12994858583159477,0.3076593177557291,1,-0.07576157528304524,-0.16610634971267557,0.009870252693950572,0.9566666666666667,1.0002739438803887
replicate_3,318,0.19090920296494104,0.11430432425299453,0.27156337843947775,1,-0.009394436088774247,-0.08647700951879791,0.0662317034330827,0.59775,1.000705665796282
replicate_4,339,0.12899814488858558,0.05540440809251792,0.20119064932741246,0.99975,-0.1366081511572832,-0.21295500399426825,-0.06339327542442763,0.9999166666666667,1.0009463592831775
replicate_5,332,0.17253367392934554,0.0953693457428423,0.25005058051097717,1,-0.06864779336817071,-0.148700502965566,0.008829793557545191,0.9568333333333333,1.0009311200814965
