parameter,freq_estimate,freq_se,freq_ci_lower,freq_ci_upper,freq_p,bayes_median,bayes_se,bayes_ci_lower,bayes_ci_upper,diff_estimate,diff_pct,ci_overlap,param_label
(Intercept),-0.19525219513738235,0.06961769446668678,-0.33170036897880184,-0.05880402129596288,0.005037364916672825,-0.20423545212230537,0.06860215704641891,-0.33938025306168695,-0.07091752654848064,0.008983256984923027,4.600848138276896,TRUE,Intercept
elsevier_pct_z,0.1533385269616181,0.03938803756673022,0.07613939190911621,0.23053766201411996,9.90028574056443e-5,0.15589051059190678,0.03843136478366327,0.08062170361256521,0.23098292043048316,-0.00255198363028869,-1.6642807785205036,TRUE,Elsevier % (z)
books_pct_z,-0.07868463943779297,0.04269377598816773,-0.16236290273862267,0.004993623863036728,0.06532897528858042,-0.08123690513840172,0.041933067613459024,-0.16423212341734814,-1.3993716679036612e-5,0.0025522657006087496,3.2436644799351684,TRUE,Books % (z)
field_type_fmixed,-0.7652467921000613,0.09363520692119426,-0.9487684253505576,-0.581725158849565,3.0171447682444157e-16,-0.7535965531950406,0.09207022895423642,-0.9335623532264881,-0.5729313940976892,-0.011650238905020704,-1.5224159088663458,TRUE,Mixed Field
field_type_fbook_heavy,-0.9826173581504044,0.10551837766142494,-1.189429578073893,-0.7758051382269158,1.2510958232714035e-20,-0.9679930937335145,0.10418136978832687,-1.1729628811557877,-0.7627916094827871,-0.01462426441688991,-1.488296974970744,TRUE,Book-heavy Field
log_works_z,-0.28836931138769,0.0317798373189275,-0.35065664796732987,-0.22608197480805017,1.1475702580757561e-19,-0.2876257985838279,0.03167274806500191,-0.35186417497266564,-0.22684034372613684,-7.435128038620897e-4,-0.25783354001303377,TRUE,Log Works (z)
