parameter,estimate,error,ci_lower,ci_upper
Intercept,-0.20423545212230537,0.06860215704641891,-0.33938025306168695,-0.07091752654848064
elsevier_pct_z,0.15589051059190678,0.03843136478366327,0.08062170361256521,0.23098292043048316
books_pct_z,-0.08123690513840172,0.041933067613459024,-0.16423212341734814,-1.3993716679036612e-5
field_type_mixed,-0.7535965531950406,0.09207022895423642,-0.9335623532264881,-0.5729313940976892
field_type_book_heavy,-0.9679930937335145,0.10418136978832687,-1.1729628811557877,-0.7627916094827871
log_works_z,-0.2876257985838279,0.03167274806500191,-0.35186417497266564,-0.22684034372613684
