sample_id,replicate,authfull,field,field_type,institution,scopus_pubs,scopus_citations,scopus_h_index,openalex_found,openalex_id,openalex_name,openalex_pubs,openalex_citations,coverage_ratio,citation_coverage,match_quality,total_works,total_citations,books_count,books_pct,articles_count,oa_count,oa_pct,elsevier_count,elsevier_pct,elsevier_citations,elsevier_citations_pct,wiley_count,wiley_pct,springer_count,springer_pct,plos_count,frontiers_count,oa_publisher_count,oa_publisher_pct
376,1,"Ohtake, Hisao",Biotechnology,journal_heavy,Phosphorus Industry Development Organization (PIDO) of Japan,232,5990,42,True,https://openalex.org/A5111370081,Hisao Ohtake,266.0,6934.0,0.8721804511278195,0.8638592443034324,good,266,6934,9,3.3834586466165413,257,82,30.82706766917293,93,34.962406015037594,2206.0,31.814248629939428,12.0,4.511278195488721,32.0,12.030075187969924,3.0,0.0,3.0,1.1278195488721803
377,1,"Dorsa, Warren J.","Strategic, Defence & Security Studies",journal_heavy,John Morrell Food Group,31,1142,21,True,https://openalex.org/A5010105709,Warren J. Dorsa,36.0,1482.0,0.8611111111111112,0.7705802968960864,good,36,1482,0,0.0,36,7,19.444444444444446,27,75.0,1184.0,79.89203778677462,4.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0
378,1,"Liberty, Edo",Artificial Intelligence & Image Processing,journal_heavy,Pinecone,41,1912,22,True,https://openalex.org/A5042783525,Edo Liberty,73.0,2828.0,0.5616438356164384,0.6760961810466761,good,73,2828,3,4.10958904109589,70,36,49.31506849315068,2,2.73972602739726,342.0,12.093352192362094,0.0,0.0,5.0,6.8493150684931505,0.0,0.0,0.0,0.0
379,1,"Fettman, Martin J.",Veterinary Sciences,journal_heavy,Colorado State University,144,3208,32,True,https://openalex.org/A5111679781,Martin J. Fettman,74.0,2343.0,1.945945945945946,1.3691848058045242,good,74,2343,1,1.3513513513513513,73,38,51.35135135135135,8,10.81081081081081,300.0,12.804097311139564,27.0,36.486486486486484,1.0,1.3513513513513513,0.0,0.0,0.0,0.0
380,1,"Evans, Bronwynne C.",Nursing,journal_heavy,Edson College of Nursing and Health Innovation,61,1541,18,True,https://openalex.org/A5033909239,Bronwynne C. Evans,76.0,2411.0,0.8026315789473685,0.6391538780588967,good,76,2411,1,1.3157894736842104,75,11,14.473684210526317,21,27.631578947368425,271.0,11.240149315636664,0.0,0.0,2.0,2.631578947368421,0.0,0.0,0.0,0.0
381,1,"Rao, VietlaSatyanarayna Satyanarayana N.",Medicinal & Biomolecular Chemistry,journal_heavy,"Universidade Federal do Ceara, Faculdade de Medicina",148,5924,46,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
382,1,"de Temmerman, Gregory C.",Energy,journal_heavy,ITER,286,4839,32,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
383,1,"Price, Edward W.",Aerospace & Aeronautics,journal_heavy,College of Engineering,59,1463,18,True,https://openalex.org/A5075612411,E. W. Price,121.0,2169.0,0.48760330578512395,0.6745043798985708,good,121,2169,4,3.3057851239669422,117,2,1.6528925619834711,12,9.917355371900827,598.0,27.57030889810973,1.0,0.8264462809917356,0.0,0.0,0.0,0.0,0.0,0.0
384,1,"El-Mahdy, Gamal Ahmed",Energy,journal_heavy,Faculty of Science,78,1217,21,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
385,1,"Martin, Frank Ian R.",General & Internal Medicine,journal_heavy,Royal Melbourne Hospital,129,1548,19,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
