sample_id,replicate,authfull,field,field_type,institution,scopus_pubs,scopus_citations,scopus_h_index,openalex_found,openalex_id,openalex_name,openalex_pubs,openalex_citations,coverage_ratio,citation_coverage,match_quality,total_works,total_citations,books_count,books_pct,articles_count,oa_count,oa_pct,elsevier_count,elsevier_pct,elsevier_citations,elsevier_citations_pct,wiley_count,wiley_pct,springer_count,springer_pct,plos_count,frontiers_count,oa_publisher_count,oa_publisher_pct
1,4,"Pritchard, Duncan H.",Philosophy,book_heavy,"University of California, Irvine",242,4545,33,True,https://openalex.org/A5103440952,D. H. Pritchard,4.0,47.0,60.5,96.70212765957447,good,4,47,1,25.0,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,"Hondagneu-Sotelo, Pierrette",Sociology,book_heavy,University of Southern California,62,3502,25,True,https://openalex.org/A5044028451,Pierrette Hondagneu‐Sotelo,186.0,9204.0,0.3333333333333333,0.3804867448935246,good,186,9204,90,48.38709677419355,96,22,11.827956989247312,4,2.1505376344086025,167.0,1.8144285093437635,4.0,2.1505376344086025,14.0,7.526881720430108,0.0,0.0,0.0,0.0
3,4,"Woolfolk Hoy, Anita Wookfolk",Education,book_heavy,The Ohio State University,29,10114,20,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
4,4,"Whittle, Alasdair W.R.",Archaeology,book_heavy,Cardiff University,94,2412,23,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
5,4,"Gutkin, Terry B.",Education,book_heavy,San Francisco State University,80,1692,19,True,https://openalex.org/A5042268401,Terry B. Gutkin,131.0,6481.0,0.6106870229007634,0.26107082240395,good,131,6481,6,4.580152671755725,125,1,0.7633587786259541,28,21.374045801526716,1495.0,23.06742786607005,10.0,7.633587786259542,1.0,0.7633587786259541,0.0,0.0,0.0,0.0
6,4,"Brown, Roger",Education,book_heavy,Southampton Solent University,47,1006,13,True,https://openalex.org/A5103432031,Roger Brown,135.0,22572.0,0.34814814814814815,0.044568491936912986,good,135,22572,22,16.296296296296298,113,13,9.62962962962963,20,14.814814814814813,4127.0,18.283714336345916,9.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
7,4,"Lienhart, Rainer",Artificial Intelligence & Image Processing,journal_heavy,Universität Augsburg,178,7206,34,True,https://openalex.org/A5009744749,Rainer Lienhart,266.0,9584.0,0.6691729323308271,0.7518781302170284,good,266,9584,31,11.654135338345863,235,100,37.59398496240601,3,1.1278195488721803,192.0,2.003338898163606,0.0,0.0,38.0,14.285714285714285,0.0,0.0,0.0,0.0
8,4,"Hallock, Pamela M.",Paleontology,journal_heavy,University of South Florida St. Petersburg,146,6703,38,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
9,4,"Tickle, Cheryll A.",Developmental Biology,journal_heavy,UCL Medical School,187,12831,57,True,https://openalex.org/A5031614724,Cheryll Tickle,251.0,19450.0,0.7450199203187251,0.6596915167095115,good,251,19450,47,18.725099601593627,204,60,23.904382470119522,57,22.709163346613543,4764.0,24.49357326478149,35.0,13.94422310756972,31.0,12.350597609561753,1.0,1.0,2.0,0.796812749003984
10,4,"Hertwig, Ralph",Experimental Psychology,journal_heavy,Max Planck Institute for Human Development,275,14513,58,True,https://openalex.org/A5068556395,Ralph Hertwig,618.0,27201.0,0.4449838187702265,0.5335465607882063,good,618,27201,60,9.70873786407767,558,345,55.8252427184466,49,7.9288025889967635,3310.0,12.168670269475387,28.0,4.53074433656958,38.0,6.148867313915858,8.0,8.0,16.0,2.5889967637540456
11,4,"Insall, John N.",Orthopedics,journal_heavy,Insall Scott Kelly Institute,182,21189,78,True,https://openalex.org/A5009688218,John N. Insall,169.0,23466.0,1.0769230769230769,0.9029659933520838,good,169,23466,23,13.609467455621301,146,4,2.366863905325444,37,21.893491124260358,2893.0,12.328475240773885,0.0,0.0,2.0,1.183431952662722,0.0,0.0,0.0,0.0
12,4,"Torres Alemán, Ignacio T.",Neurology & Neurosurgery,journal_heavy,Achucarro Basque Center for Neuroscience,173,9519,51,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
13,4,"Rappaport, Stephen Morris",Toxicology,journal_heavy,"University of California, Berkeley",306,11138,52,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
14,4,"Langer, Jacob Charles",Pediatrics,journal_heavy,"University of Alberta, Faculty of Medicine and Dentistry",409,15128,70,False,,,,,0.0,,not_found,0,0,0,0.0,0,0,0.0,0,0.0,,,,,,,,,,
15,4,"Perloff, Joseph K.",Cardiovascular System & Hematology,journal_heavy,"National Heart, Lung, and Blood Institute (NHLBI)",290,8601,45,True,https://openalex.org/A5110079025,Joseph K. Perloff,340.0,14492.0,0.8529411764705882,0.5934998619928237,good,340,14492,73,21.470588235294116,267,47,13.823529411764707,224,65.88235294117646,7027.0,48.488821418713776,8.0,2.3529411764705883,4.0,1.1764705882352942,0.0,0.0,0.0,0.0
16,4,"Lowell, Clifford A.",Immunology,journal_heavy,"University of California, San Francisco",248,20408,81,True,https://openalex.org/A5082818365,Clifford A. Lowell,321.0,26631.0,0.7725856697819314,0.7663249596335098,good,321,26631,3,0.9345794392523363,318,217,67.601246105919,92,28.66043613707165,9383.0,35.2333746385791,22.0,6.853582554517133,14.0,4.361370716510903,4.0,2.0,6.0,1.8691588785046727
17,4,"Yin, Xia",Biochemistry & Molecular Biology,journal_heavy,Indiana University School of Medicine,170,28805,74,True,https://openalex.org/A5108232261,Ya‐Xia Yin,251.0,44774.0,0.6772908366533864,0.6433421181935945,good,251,44774,0,0.0,251,36,14.342629482071715,33,13.147410358565736,4382.0,9.786929914682627,79.0,31.47410358565737,17.0,6.772908366533864,0.0,0.0,0.0,0.0
18,4,"Trinka, Eugen",Neurology & Neurosurgery,journal_heavy,Christian-Doppler-Klinik,727,20364,68,True,https://openalex.org/A5076045134,Eugen Trinka,1069.0,31534.0,0.6800748362956034,0.6457791590029809,good,1069,31534,133,12.441534144059869,936,466,43.592142188961645,265,24.78952291861553,8088.0,25.648506374072426,205.0,19.176800748362957,113.0,10.570626753975679,6.0,40.0,46.0,4.303086997193639
19,4,"Larson, Kristine M.",Meteorology & Atmospheric Sciences,journal_heavy,College of Engineering and Applied Science,111,11897,56,True,https://openalex.org/A5019287056,Kristine M. Larson,292.0,16702.0,0.3801369863013699,0.712309903005628,good,292,16702,0,0.0,292,83,28.424657534246577,8,2.73972602739726,435.0,2.604478505568195,20.0,6.8493150684931505,20.0,6.8493150684931505,0.0,0.0,0.0,0.0
20,4,"Feil, Edward J.",Microbiology,journal_heavy,University of Bath,200,21817,63,True,https://openalex.org/A5014816450,Edward J. Feil,359.0,31070.0,0.5571030640668524,0.7021886063727067,good,359,31070,11,3.064066852367688,348,231,64.34540389972145,43,11.977715877437326,4004.0,12.887029288702928,7.0,1.9498607242339834,22.0,6.128133704735376,23.0,8.0,31.0,8.635097493036211
21,4,"Javitch, Jonathan A.",Biochemistry & Molecular Biology,journal_heavy,Vagelos College of Physicians and Surgeons,301,21418,83,True,https://openalex.org/A5076865147,Jonathan A. Javitch,428.0,31828.0,0.7032710280373832,0.6729294960412215,good,428,31828,14,3.2710280373831773,414,268,62.616822429906534,109,25.46728971962617,7249.0,22.775543546562773,37.0,8.644859813084112,76.0,17.75700934579439,5.0,4.0,9.0,2.102803738317757
