sample_id,replicate,authfull,field,field_type,institution,scopus_pubs,scopus_citations,scopus_h_index,openalex_found,openalex_id,openalex_name,openalex_pubs,openalex_citations,coverage_ratio,citation_coverage,match_quality,total_works,total_citations,books_count,books_pct,articles_count,oa_count,oa_pct,elsevier_count,elsevier_pct,elsevier_citations,elsevier_citations_pct,wiley_count,wiley_pct,springer_count,springer_pct,plos_count,frontiers_count,oa_publisher_count,oa_publisher_pct
1,5,"Lather, Patti A.",Education,book_heavy,The Ohio State University,62,4871,25,True,https://openalex.org/A5077701578,Patti Lather,135.0,14116.0,0.45925925925925926,0.3450694247662227,good,135,14116,46,34.074074074074076,89,10,7.4074074074074066,2,1.4814814814814816,339.0,2.401530178520827,4.0,2.9629629629629632,4.0,2.9629629629629632,0.0,0.0,0.0,0.0
2,5,"Lubienski, Christopher A.",Education,book_heavy,Indiana University Bloomington,105,2779,29,True,https://openalex.org/A5088082592,Christopher Lubienski,188.0,4958.0,0.5585106382978723,0.5605082694634933,good,188,4958,44,23.404255319148938,144,37,19.680851063829788,0,0.0,0.0,0.0,1.0,0.5319148936170213,4.0,2.127659574468085,0.0,0.0,0.0,0.0
3,5,"Huemer, Michael",Philosophy,book_heavy,University of Colorado Boulder,62,1191,19,True,https://openalex.org/A5063681299,Michael Huemer,202.0,4013.0,0.3069306930693069,0.2967854472962871,good,202,4013,120,59.4059405940594,82,7,3.4653465346534658,2,0.9900990099009901,2.0,0.049838026414154,17.0,8.415841584158416,64.0,31.683168316831683,0.0,0.0,0.0,0.0
4,5,"Gardner, John",Law,book_heavy,University of Oxford,49,1706,17,True,https://openalex.org/A5054969825,John Gardner,673.0,6991.0,0.07280832095096583,0.2440280360463453,good,673,6991,174,25.854383358098072,499,151,22.436849925705797,17,2.526002971768202,726.0,10.38478043198398,9.0,1.337295690936107,26.0,3.863298662704309,0.0,0.0,0.0,0.0
5,5,"West, Martin L.",Classics,book_heavy,All Souls College,39,1143,11,True,https://openalex.org/A5112021539,M. L. West,369.0,7206.0,0.10569105691056911,0.15861781848459616,good,369,7206,85,23.035230352303522,284,12,3.2520325203252036,3,0.8130081300813009,8.0,0.11101859561476549,3.0,0.8130081300813009,1.0,0.27100271002710025,0.0,0.0,0.0,0.0
6,5,"Esteban-Guitart, Moisés",Education,book_heavy,Universitat de Girona,76,1255,17,True,https://openalex.org/A5001532149,Moisès Esteban‐Guitart,239.0,3392.0,0.3179916317991632,0.3699882075471698,good,239,3392,20,8.368200836820083,219,114,47.69874476987448,5,2.092050209205021,463.0,13.649764150943398,5.0,2.092050209205021,5.0,2.092050209205021,0.0,3.0,3.0,1.2552301255230125
7,5,"Bagchi, Biman",Chemical Physics,journal_heavy,Indian Institute of Science,480,13697,55,True,https://openalex.org/A5083996598,Biman Bagchi,696.0,20379.0,0.6896551724137931,0.6721134501202218,good,696,20379,83,11.925287356321839,613,194,27.873563218390807,47,6.752873563218391,1265.0,6.20737033220472,16.0,2.2988505747126435,38.0,5.459770114942529,2.0,0.0,2.0,0.28735632183908044
8,5,"Sandler, Howard M.",Oncology & Carcinogenesis,journal_heavy,Cedars-Sinai Medical Center,463,31966,84,True,https://openalex.org/A5045162411,Howard M. Sandler,936.0,48006.0,0.4946581196581197,0.6658750989459651,good,936,48006,29,3.0982905982905984,907,358,38.24786324786324,498,53.205128205128204,20177.0,42.03016289630463,51.0,5.448717948717949,22.0,2.3504273504273505,1.0,0.0,1.0,0.10683760683760685
9,5,"Hudson, P. J.",Ecology,journal_heavy,Pennsylvania State University,257,16360,62,True,https://openalex.org/A5031279058,Peter J. Hudson,420.0,31309.0,0.611904761904762,0.5225334568334984,good,420,31309,22,5.238095238095238,398,180,42.857142857142854,53,12.619047619047619,4122.0,13.165543453958925,110.0,26.190476190476193,43.0,10.238095238095237,9.0,3.0,12.0,2.857142857142857
10,5,"Dancer, Stephanie J.",Epidemiology,journal_heavy,NHS Lanarkshire,184,8184,42,True,https://openalex.org/A5002829720,Stephanie J. Dancer,234.0,12639.0,0.7863247863247863,0.6475195822454308,good,234,12639,4,1.7094017094017095,230,129,55.12820512820513,131,55.98290598290598,7807.0,61.769127304375345,8.0,3.418803418803419,3.0,1.282051282051282,1.0,1.0,2.0,0.8547008547008548
